ID,REGISTROCAMARACOMERCIO,APERTURA,CIERRE
14176,14176,5,12
14177,14177,5,12
14178,14178,7,10
14179,14179,6,8
14180,14180,7,8
14181,14181,8,11
14182,14182,6,8
14183,14183,7,10
14184,14184,7,9
14185,14185,5,9
14186,14186,7,12
14187,14187,6,12
14188,14188,7,10
14189,14189,5,10
14190,14190,7,9
14191,14191,6,11
14192,14192,8,10
14193,14193,7,8
14194,14194,7,12
14195,14195,5,12
14196,14196,8,12
14197,14197,8,11
14198,14198,5,8
14199,14199,8,9
14200,14200,7,9
14201,14201,7,10
14202,14202,8,11
14203,14203,5,10
14204,14204,6,10
14205,14205,6,11
14206,14206,7,10
14207,14207,7,9
14208,14208,7,10
14209,14209,6,9
14210,14210,6,9
14211,14211,7,10
14212,14212,8,11
14213,14213,5,8
14214,14214,5,12
14215,14215,8,10
14216,14216,5,12
14217,14217,5,9
14218,14218,8,10
14219,14219,6,10
14220,14220,5,9
14221,14221,5,10
14222,14222,5,12
14223,14223,8,12
14224,14224,5,8
14225,14225,5,9
14226,14226,8,12
14227,14227,8,11
14228,14228,5,11
14229,14229,8,10
14230,14230,5,8
14231,14231,5,10
14232,14232,8,8
14233,14233,5,12
14234,14234,6,10
14235,14235,5,12
14236,14236,5,10
14237,14237,6,8
14238,14238,7,11
14239,14239,6,11
14240,14240,7,8
14241,14241,6,11
14242,14242,6,11
14243,14243,6,11
14244,14244,7,8
14245,14245,6,10
14246,14246,6,10
14247,14247,6,8
14248,14248,6,8
14249,14249,7,12
14250,14250,8,9
14251,14251,5,8
14252,14252,5,8
14253,14253,7,10
14254,14254,6,9
14255,14255,5,9
14256,14256,5,10
14257,14257,5,9
14258,14258,5,12
14259,14259,7,9
14260,14260,8,8
14261,14261,8,12
14262,14262,8,12
14263,14263,6,12
14264,14264,7,11
14265,14265,7,10
14266,14266,8,10
14267,14267,7,8
14268,14268,6,8
14269,14269,6,8
14270,14270,6,10
14271,14271,8,11
14272,14272,8,8
14273,14273,5,12
14274,14274,7,9
14275,14275,6,8
14276,14276,6,12
14277,14277,5,11
14278,14278,6,10
14279,14279,8,10
14280,14280,8,12
14281,14281,5,9
14282,14282,5,11
14283,14283,7,10
14284,14284,8,12
14285,14285,5,10
14286,14286,7,9
14287,14287,7,12
14288,14288,5,12
14289,14289,5,8
14290,14290,5,8
14291,14291,5,11
14292,14292,7,10
14293,14293,6,8
14294,14294,7,8
14295,14295,5,12
14296,14296,7,11
14297,14297,5,11
14298,14298,6,12
14299,14299,6,10
14300,14300,7,10
14301,14301,8,12
14302,14302,6,8
14303,14303,7,12
14304,14304,8,12
14305,14305,6,9
14306,14306,7,12
14307,14307,6,9
14308,14308,6,10
14309,14309,7,10
14310,14310,8,11
14311,14311,6,9
14312,14312,8,8
14313,14313,7,9
14314,14314,8,9
14315,14315,6,12
14316,14316,5,10
14317,14317,7,10
14318,14318,5,10
14319,14319,8,8
14320,14320,5,11
14321,14321,6,9
14322,14322,7,8
14323,14323,8,11
14324,14324,5,12
14325,14325,8,8
14326,14326,8,12
14327,14327,6,12
14328,14328,5,11
14329,14329,8,12
14330,14330,6,12
14331,14331,8,8
14332,14332,8,12
14333,14333,6,8
14334,14334,8,10
14335,14335,8,12
14336,14336,8,9
14337,14337,7,8
14338,14338,7,12
14339,14339,7,12
14340,14340,5,12
14341,14341,6,9
14342,14342,8,9
14343,14343,6,10
14344,14344,7,11
14345,14345,6,9
14346,14346,8,11
14347,14347,6,9
14348,14348,6,10
14349,14349,8,12
14350,14350,5,9
14351,14351,5,8
14352,14352,7,9
14353,14353,6,9
14354,14354,6,8
14355,14355,5,9
14356,14356,5,10
14357,14357,5,12
14358,14358,7,9
14359,14359,5,8
14360,14360,6,11
14361,14361,8,11
14362,14362,6,10
14363,14363,8,12
14364,14364,7,8
14365,14365,8,8
14366,14366,7,11
14367,14367,7,9
14368,14368,6,11
14369,14369,6,12
14370,14370,7,12
14371,14371,6,10
14372,14372,5,11
14373,14373,7,12
14374,14374,8,12
14375,14375,6,10
14376,14376,6,12
14377,14377,5,11
14378,14378,6,9
14379,14379,6,11
14380,14380,6,8
14381,14381,6,8
14382,14382,6,11
14383,14383,7,8
14384,14384,5,10
14385,14385,5,11
14386,14386,8,12
14387,14387,5,11
14388,14388,5,12
14389,14389,6,11
14390,14390,6,8
14391,14391,6,11
14392,14392,6,8
14393,14393,5,9
14394,14394,7,11
14395,14395,8,11
14396,14396,5,11
14397,14397,8,10
14398,14398,7,11
14399,14399,7,10
14400,14400,6,11
14401,14401,8,11
14402,14402,5,10
14403,14403,8,8
14404,14404,8,9
14405,14405,7,10
14406,14406,7,11
14407,14407,6,11
14408,14408,6,9
14409,14409,8,10
14410,14410,6,12
14411,14411,5,12
14412,14412,7,9
14413,14413,5,12
14414,14414,8,12
14415,14415,8,10
14416,14416,5,8
14417,14417,7,12
14418,14418,7,8
14419,14419,7,11
14420,14420,7,10
14421,14421,6,10
14422,14422,5,11
14423,14423,8,10
14424,14424,6,11
14425,14425,5,9
14426,14426,6,11
14427,14427,8,10
14428,14428,7,10
14429,14429,7,12
14430,14430,8,10
14431,14431,8,8
14432,14432,5,11
14433,14433,6,8
14434,14434,8,8
14435,14435,7,12
14436,14436,7,9
14437,14437,7,10
14438,14438,7,10
14439,14439,5,11
14440,14440,6,9
14441,14441,8,8
14442,14442,8,12
14443,14443,6,10
14444,14444,8,10
14445,14445,8,12
14446,14446,5,12
14447,14447,8,9
14448,14448,6,10
14449,14449,5,12
14450,14450,5,10
14451,14451,8,8
14452,14452,8,11
14453,14453,5,9
14454,14454,7,9
14455,14455,7,12
14456,14456,8,11
14457,14457,6,9
14458,14458,7,12
14459,14459,7,11
14460,14460,6,10
14461,14461,5,8
14462,14462,7,9
14463,14463,8,12
14464,14464,7,12
14465,14465,6,8
14466,14466,7,11
14467,14467,8,9
14468,14468,6,10
14469,14469,7,10
14470,14470,5,9
14471,14471,8,9
14472,14472,8,9
14473,14473,5,11
14474,14474,6,8
14475,14475,7,11
14476,14476,8,12
14477,14477,8,8
14478,14478,6,10
14479,14479,6,10
14480,14480,7,8
14481,14481,5,10
14482,14482,6,8
14483,14483,8,8
14484,14484,8,11
14485,14485,6,12
14486,14486,6,9
14487,14487,7,8
14488,14488,7,10
14489,14489,5,9
14490,14490,7,10
14491,14491,6,12
14492,14492,6,10
14493,14493,7,12
14494,14494,6,8
14495,14495,7,8
14496,14496,7,8
14497,14497,5,9
14498,14498,5,11
14499,14499,7,12
14500,14500,6,8
14501,14501,8,10
14502,14502,8,11
14503,14503,7,11
14504,14504,5,12
14505,14505,8,10
14506,14506,7,10
14507,14507,5,9
14508,14508,5,11
14509,14509,5,9
14510,14510,7,12
14511,14511,6,10
14512,14512,7,9
14513,14513,5,11
14514,14514,5,12
14515,14515,7,10
14516,14516,6,10
14517,14517,7,8
14518,14518,8,8
14519,14519,6,10
14520,14520,6,12
14521,14521,5,9
14522,14522,8,9
14523,14523,6,8
14524,14524,7,8
14525,14525,8,11
14526,14526,6,9
14527,14527,7,9
14528,14528,5,9
14529,14529,8,12
14530,14530,5,11
14531,14531,5,11
14532,14532,6,9
14533,14533,7,11
14534,14534,6,9
14535,14535,6,9
14536,14536,5,9
14537,14537,7,8
14538,14538,7,8
14539,14539,7,9
14540,14540,6,9
14541,14541,8,9
14542,14542,7,11
14543,14543,6,12
14544,14544,7,12
14545,14545,5,8
14546,14546,8,12
14547,14547,6,12
14548,14548,7,12
14549,14549,7,9
14550,14550,6,9
14551,14551,7,9
14552,14552,6,9
14553,14553,7,8
14554,14554,6,10
14555,14555,5,11
14556,14556,5,10
14557,14557,8,9
14558,14558,8,12
14559,14559,6,12
14560,14560,7,8
14561,14561,5,8
14562,14562,5,12
14563,14563,8,9
14564,14564,7,12
14565,14565,7,8
14566,14566,7,10
14567,14567,7,8
14568,14568,6,9
14569,14569,5,9
14570,14570,5,11
14571,14571,7,12
14572,14572,8,9
14573,14573,6,12
14574,14574,5,9
14575,14575,5,11
14576,14576,6,12
14577,14577,8,12
14578,14578,8,9
14579,14579,8,12
14580,14580,5,11
14581,14581,5,12
14582,14582,6,8
14583,14583,5,8
14584,14584,5,10
14585,14585,5,8
14586,14586,7,9
14587,14587,6,10
14588,14588,7,8
14589,14589,7,11
14590,14590,6,10
14591,14591,7,10
14592,14592,6,8
14593,14593,7,8
14594,14594,6,11
14595,14595,5,9
14596,14596,6,11
14597,14597,5,10
14598,14598,8,11
14599,14599,8,12
14600,14600,6,9
14601,14601,8,10
14602,14602,6,12
14603,14603,7,9
14604,14604,6,10
14605,14605,6,8
14606,14606,7,12
14607,14607,6,10
14608,14608,8,12
14609,14609,8,8
14610,14610,8,10
14611,14611,8,10
14612,14612,7,11
14613,14613,5,9
14614,14614,5,9
14615,14615,5,8
14616,14616,8,12
14617,14617,8,10
14618,14618,6,10
14619,14619,6,9
14620,14620,6,12
14621,14621,6,8
14622,14622,7,10
14623,14623,8,8
14624,14624,5,10
14625,14625,8,9
14626,14626,5,10
14627,14627,6,8
14628,14628,8,8
14629,14629,8,8
14630,14630,7,8
14631,14631,7,11
14632,14632,5,12
14633,14633,5,10
14634,14634,7,9
14635,14635,7,10
14636,14636,6,12
14637,14637,5,11
14638,14638,6,12
14639,14639,6,12
14640,14640,5,12
14641,14641,7,11
14642,14642,5,9
14643,14643,6,12
14644,14644,6,10
14645,14645,7,8
14646,14646,6,11
14647,14647,6,11
14648,14648,6,11
14649,14649,7,8
14650,14650,6,11
14651,14651,6,12
14652,14652,7,10
14653,14653,5,9
14654,14654,8,10
14655,14655,5,9
14656,14656,6,8
14657,14657,7,12
14658,14658,7,9
14659,14659,5,8
14660,14660,5,11
14661,14661,6,10
14662,14662,6,10
14663,14663,5,11
14664,14664,8,10
14665,14665,8,8
14666,14666,6,11
14667,14667,7,8
14668,14668,8,12
14669,14669,6,11
14670,14670,5,11
14671,14671,8,12
14672,14672,7,11
14673,14673,8,12
14674,14674,8,9
14675,14675,5,8
14676,14676,5,10
14677,14677,8,8
14678,14678,8,12
14679,14679,8,11
14680,14680,6,8
14681,14681,6,8
14682,14682,5,11
14683,14683,8,11
14684,14684,6,8
14685,14685,6,11
14686,14686,8,11
14687,14687,6,11
14688,14688,7,10
14689,14689,7,9
14690,14690,5,9
14691,14691,7,10
14692,14692,8,11
14693,14693,8,10
14694,14694,7,9
14695,14695,6,10
14696,14696,8,11
14697,14697,5,8
14698,14698,6,12
14699,14699,8,9
14700,14700,7,9
14701,14701,6,10
14702,14702,6,8
14703,14703,8,9
14704,14704,8,10
14705,14705,8,11
14706,14706,7,9
14707,14707,8,12
14708,14708,5,9
14709,14709,7,12
14710,14710,8,8
14711,14711,6,10
14712,14712,7,11
14713,14713,6,12
14714,14714,5,9
14715,14715,8,12
14716,14716,5,12
14717,14717,5,8
14718,14718,8,12
14719,14719,7,11
14720,14720,6,9
14721,14721,8,10
14722,14722,5,10
14723,14723,6,11
14724,14724,7,12
14725,14725,5,9
14726,14726,7,9
14727,14727,6,9
14728,14728,5,11
14729,14729,8,9
14730,14730,7,10
14731,14731,7,11
14732,14732,5,11
14733,14733,7,8
14734,14734,8,10
14735,14735,8,8
14736,14736,8,11
14737,14737,6,10
14738,14738,5,8
14739,14739,6,10
14740,14740,8,9
14741,14741,8,11
14742,14742,7,9
14743,14743,7,9
14744,14744,6,8
14745,14745,8,10
14746,14746,6,10
14747,14747,5,12
14748,14748,6,10
14749,14749,6,10
14750,14750,5,10
14751,14751,7,8
14752,14752,8,9
14753,14753,5,8
14754,14754,5,12
14755,14755,7,8
14756,14756,8,12
14757,14757,5,12
14758,14758,7,9
14759,14759,5,12
14760,14760,7,10
14761,14761,7,10
14762,14762,6,8
14763,14763,8,9
14764,14764,6,8
14765,14765,5,9
14766,14766,8,9
14767,14767,8,11
14768,14768,8,8
14769,14769,7,12
14770,14770,5,11
14771,14771,8,10
14772,14772,5,9
14773,14773,8,10
14774,14774,5,11
14775,14775,6,9
14776,14776,5,12
14777,14777,7,9
14778,14778,7,11
14779,14779,7,10
14780,14780,8,9
14781,14781,8,8
14782,14782,8,11
14783,14783,7,12
14784,14784,5,11
14785,14785,6,9
14786,14786,5,10
14787,14787,8,11
14788,14788,6,12
14789,14789,8,12
14790,14790,6,10
14791,14791,8,11
14792,14792,6,10
14793,14793,7,12
14794,14794,7,9
14795,14795,7,12
14796,14796,6,10
14797,14797,7,12
14798,14798,5,10
14799,14799,5,12
14800,14800,6,12
14801,14801,8,12
14802,14802,7,10
14803,14803,6,11
14804,14804,7,11
14805,14805,7,8
14806,14806,6,10
14807,14807,6,11
14808,14808,7,12
14809,14809,6,9
14810,14810,7,10
14811,14811,6,8
14812,14812,5,9
14813,14813,5,10
14814,14814,8,8
14815,14815,8,8
14816,14816,8,10
14817,14817,8,11
14818,14818,6,8
14819,14819,5,10
14820,14820,7,11
14821,14821,6,12
14822,14822,6,12
14823,14823,7,10
14824,14824,6,10
14825,14825,5,11
14826,14826,5,11
14827,14827,7,10
14828,14828,5,10
14829,14829,6,8
14830,14830,5,9
14831,14831,5,9
14832,14832,7,12
14833,14833,8,8
14834,14834,8,10
14835,14835,5,8
14836,14836,6,11
14837,14837,5,9
14838,14838,5,12
14839,14839,6,10
14840,14840,7,8
14841,14841,6,12
14842,14842,6,9
14843,14843,6,11
14844,14844,5,12
14845,14845,6,8
14846,14846,5,8
14847,14847,7,11
14848,14848,7,10
14849,14849,5,8
14850,14850,5,12
14851,14851,6,9
14852,14852,8,8
14853,14853,8,9
14854,14854,8,12
14855,14855,7,9
14856,14856,8,12
14857,14857,8,12
14858,14858,7,10
14859,14859,8,11
14860,14860,5,8
14861,14861,7,11
14862,14862,6,12
14863,14863,8,9
14864,14864,7,9
14865,14865,8,12
14866,14866,6,11
14867,14867,8,8
14868,14868,7,12
14869,14869,7,12
14870,14870,7,8
14871,14871,6,8
14872,14872,8,8
14873,14873,7,12
14874,14874,5,9
14875,14875,7,11
14876,14876,8,8
14877,14877,6,10
14878,14878,8,8
14879,14879,5,9
14880,14880,5,11
14881,14881,7,11
14882,14882,6,9
14883,14883,8,12
14884,14884,7,11
14885,14885,7,12
14886,14886,6,8
14887,14887,7,12
14888,14888,5,8
14889,14889,5,12
14890,14890,7,9
14891,14891,8,10
14892,14892,7,9
14893,14893,8,9
14894,14894,6,12
14895,14895,5,10
14896,14896,8,8
14897,14897,5,12
14898,14898,5,11
14899,14899,8,12
14900,14900,6,8
14901,14901,7,12
14902,14902,7,11
14903,14903,5,12
14904,14904,7,11
14905,14905,8,11
14906,14906,7,12
14907,14907,5,11
14908,14908,6,12
14909,14909,8,12
14910,14910,8,8
14911,14911,6,10
14912,14912,7,8
14913,14913,7,12
14914,14914,8,9
14915,14915,8,8
14916,14916,7,9
14917,14917,5,8
14918,14918,8,8
14919,14919,5,11
14920,14920,8,9
14921,14921,5,10
14922,14922,6,9
14923,14923,6,8
14924,14924,8,10
14925,14925,7,9
14926,14926,5,12
14927,14927,8,9
14928,14928,5,12
14929,14929,8,11
14930,14930,6,12
14931,14931,5,12
14932,14932,7,8
14933,14933,8,9
14934,14934,7,10
14935,14935,5,11
14936,14936,8,12
14937,14937,7,10
14938,14938,7,8
14939,14939,8,12
14940,14940,7,9
14941,14941,8,9
14942,14942,8,8
14943,14943,7,9
14944,14944,7,11
14945,14945,5,8
14946,14946,5,8
14947,14947,7,9
14948,14948,5,12
14949,14949,5,11
14950,14950,8,10
14951,14951,5,11
14952,14952,8,12
14953,14953,7,9
14954,14954,7,9
14955,14955,6,8
14956,14956,5,10
14957,14957,5,11
14958,14958,7,8
14959,14959,6,10
14960,14960,5,8
14961,14961,8,11
14962,14962,5,8
14963,14963,7,12
14964,14964,7,11
14965,14965,8,9
14966,14966,7,12
14967,14967,7,9
14968,14968,8,9
14969,14969,5,10
14970,14970,5,12
14971,14971,7,10
14972,14972,6,10
14973,14973,7,10
14974,14974,8,8
14975,14975,8,9
14976,14976,8,8
14977,14977,7,8
14978,14978,8,8
14979,14979,5,10
14980,14980,7,9
14981,14981,8,8
14982,14982,5,8
14983,14983,5,10
14984,14984,5,12
14985,14985,7,9
14986,14986,5,10
14987,14987,8,12
14988,14988,7,8
14989,14989,7,12
14990,14990,7,9
14991,14991,5,8
14992,14992,5,10
14993,14993,7,10
14994,14994,8,9
14995,14995,5,11
14996,14996,7,11
14997,14997,7,8
14998,14998,8,8
14999,14999,5,11
15000,15000,5,11
15001,15001,5,12
15002,15002,5,12
15003,15003,6,12
15004,15004,8,9
15005,15005,6,8
15006,15006,5,9
15007,15007,7,9
15008,15008,8,9
15009,15009,6,11
15010,15010,5,9
15011,15011,7,11
15012,15012,6,11
15013,15013,6,10
15014,15014,6,10
15015,15015,5,8
15016,15016,8,10
15017,15017,7,10
15018,15018,7,12
15019,15019,8,10
15020,15020,7,9
15021,15021,7,11
15022,15022,7,12
15023,15023,5,8
15024,15024,6,8
15025,15025,5,9
15026,15026,7,9
15027,15027,5,10
15028,15028,5,10
15029,15029,7,12
15030,15030,5,10
15031,15031,7,9
15032,15032,8,9
15033,15033,6,11
15034,15034,5,9
15035,15035,7,11
15036,15036,8,10
15037,15037,7,11
15038,15038,6,8
15039,15039,5,8
15040,15040,6,9
15041,15041,6,11
15042,15042,6,9
15043,15043,7,9
15044,15044,6,9
15045,15045,7,12
15046,15046,8,9
15047,15047,8,12
15048,15048,6,9
15049,15049,8,8
15050,15050,8,11
15051,15051,8,10
15052,15052,6,8
15053,15053,5,9
15054,15054,7,10
15055,15055,5,12
15056,15056,5,8
15057,15057,7,9
15058,15058,8,10
15059,15059,6,11
15060,15060,5,12
15061,15061,6,11
15062,15062,7,10
15063,15063,5,9
15064,15064,8,9
15065,15065,7,8
15066,15066,8,8
15067,15067,5,9
15068,15068,5,12
15069,15069,6,10
15070,15070,7,10
15071,15071,5,11
15072,15072,6,10
15073,15073,6,10
15074,15074,7,10
15075,15075,8,9
15076,15076,7,11
15077,15077,6,12
15078,15078,6,10
15079,15079,8,9
15080,15080,8,9
15081,15081,8,9
15082,15082,6,10
15083,15083,7,8
15084,15084,7,10
15085,15085,5,11
15086,15086,7,10
15087,15087,5,9
15088,15088,6,10
15089,15089,6,10
15090,15090,8,12
15091,15091,7,9
15092,15092,5,12
15093,15093,7,9
15094,15094,7,8
15095,15095,5,11
15096,15096,6,11
15097,15097,8,8
15098,15098,7,12
15099,15099,7,8
15100,15100,7,11
15101,15101,5,11
15102,15102,7,10
15103,15103,7,9
15104,15104,6,8
15105,15105,7,9
15106,15106,8,10
15107,15107,7,11
15108,15108,5,11
15109,15109,7,11
15110,15110,7,12
15111,15111,5,11
15112,15112,6,10
15113,15113,6,12
15114,15114,8,9
15115,15115,6,12
15116,15116,7,9
15117,15117,8,8
15118,15118,6,8
15119,15119,8,10
15120,15120,8,10
15121,15121,6,12
15122,15122,6,8
15123,15123,5,11
15124,15124,6,12
15125,15125,7,11
15126,15126,6,8
15127,15127,8,11
15128,15128,8,12
15129,15129,8,12
15130,15130,7,10
15131,15131,6,9
15132,15132,8,10
15133,15133,7,8
15134,15134,8,8
15135,15135,7,9
15136,15136,8,12
15137,15137,5,9
15138,15138,8,8
15139,15139,8,9
15140,15140,5,11
15141,15141,8,11
15142,15142,8,12
15143,15143,8,11
15144,15144,6,9
15145,15145,7,9
15146,15146,5,10
15147,15147,7,10
15148,15148,8,11
15149,15149,6,8
15150,15150,5,8
15151,15151,6,10
15152,15152,7,11
15153,15153,8,12
15154,15154,7,10
15155,15155,7,8
15156,15156,8,8
15157,15157,5,9
15158,15158,8,12
15159,15159,6,9
15160,15160,8,8
15161,15161,6,12
15162,15162,5,10
15163,15163,7,11
15164,15164,7,12
15165,15165,8,10
15166,15166,5,8
15167,15167,7,11
15168,15168,8,10
15169,15169,7,9
15170,15170,6,8
15171,15171,8,11
15172,15172,6,11
15173,15173,7,8
15174,15174,5,11
15175,15175,5,10
15176,15176,5,9
15177,15177,5,9
15178,15178,6,9
15179,15179,6,9
15180,15180,6,9
15181,15181,7,9
15182,15182,8,12
15183,15183,8,9
15184,15184,5,12
15185,15185,5,10
15186,15186,6,9
15187,15187,7,9
15188,15188,5,8
15189,15189,5,11
15190,15190,5,12
15191,15191,5,11
15192,15192,6,9
15193,15193,7,8
15194,15194,8,8
15195,15195,7,8
15196,15196,6,11
15197,15197,8,12
15198,15198,8,12
15199,15199,7,12
15200,15200,6,10
15201,15201,6,9
15202,15202,5,8
15203,15203,8,12
15204,15204,8,8
15205,15205,8,11
15206,15206,8,11
15207,15207,7,8
15208,15208,7,10
15209,15209,5,12
15210,15210,8,10
15211,15211,8,9
15212,15212,8,12
15213,15213,8,8
15214,15214,7,12
15215,15215,7,12
15216,15216,5,12
15217,15217,8,9
15218,15218,8,8
15219,15219,5,9
15220,15220,8,11
15221,15221,7,8
15222,15222,5,9
15223,15223,8,12
15224,15224,6,11
15225,15225,8,10
15226,15226,7,11
15227,15227,7,10
15228,15228,7,10
15229,15229,8,11
15230,15230,7,11
15231,15231,8,11
15232,15232,8,11
15233,15233,6,11
15234,15234,8,8
15235,15235,7,11
15236,15236,5,9
15237,15237,8,10
15238,15238,7,8
15239,15239,7,11
15240,15240,6,9
15241,15241,6,11
15242,15242,7,8
15243,15243,5,12
15244,15244,6,10
15245,15245,6,10
15246,15246,6,10
15247,15247,6,9
15248,15248,5,11
15249,15249,8,9
15250,15250,5,12
15251,15251,6,8
15252,15252,6,12
15253,15253,7,12
15254,15254,6,9
15255,15255,8,12
15256,15256,5,8
15257,15257,7,8
15258,15258,8,8
15259,15259,6,11
15260,15260,8,12
15261,15261,5,12
15262,15262,6,12
15263,15263,6,12
15264,15264,8,12
15265,15265,6,12
15266,15266,5,11
15267,15267,6,11
15268,15268,7,9
15269,15269,8,12
15270,15270,6,11
15271,15271,7,12
15272,15272,7,9
15273,15273,7,12
15274,15274,7,8
15275,15275,8,12
15276,15276,7,9
15277,15277,8,9
15278,15278,7,12
15279,15279,5,9
15280,15280,7,11
15281,15281,5,12
15282,15282,5,10
15283,15283,5,8
15284,15284,8,10
15285,15285,6,12
15286,15286,6,11
15287,15287,5,11
15288,15288,8,10
15289,15289,5,9
15290,15290,6,12
15291,15291,7,11
15292,15292,5,12
15293,15293,6,8
15294,15294,6,9
15295,15295,8,10
15296,15296,7,9
15297,15297,6,12
15298,15298,7,11
15299,15299,8,11
15300,15300,5,8
15301,15301,5,8
15302,15302,7,10
15303,15303,7,8
15304,15304,8,8
15305,15305,8,9
15306,15306,6,12
15307,15307,6,11
15308,15308,5,10
15309,15309,6,9
15310,15310,7,10
15311,15311,6,12
15312,15312,7,9
15313,15313,7,11
15314,15314,8,8
15315,15315,5,11
15316,15316,5,9
15317,15317,7,9
15318,15318,8,9
15319,15319,7,9
15320,15320,6,8
15321,15321,6,8
15322,15322,8,12
15323,15323,5,9
15324,15324,8,9
15325,15325,7,11
15326,15326,5,11
15327,15327,7,9
15328,15328,8,12
15329,15329,5,8
15330,15330,5,8
15331,15331,8,12
15332,15332,5,11
15333,15333,5,12
15334,15334,8,12
15335,15335,7,10
15336,15336,6,12
15337,15337,6,10
15338,15338,7,8
15339,15339,6,11
15340,15340,8,11
15341,15341,6,11
15342,15342,6,8
15343,15343,7,8
15344,15344,6,9
15345,15345,5,11
15346,15346,6,8
15347,15347,8,10
15348,15348,8,9
15349,15349,5,11
15350,15350,6,9
15351,15351,5,9
15352,15352,8,10
15353,15353,7,8
15354,15354,5,12
15355,15355,6,8
15356,15356,8,11
15357,15357,5,11
15358,15358,5,8
15359,15359,8,12
15360,15360,6,11
15361,15361,6,12
15362,15362,6,8
15363,15363,8,10
15364,15364,8,9
15365,15365,5,12
15366,15366,5,8
15367,15367,8,8
15368,15368,8,10
15369,15369,6,10
15370,15370,6,8
15371,15371,7,9
15372,15372,7,10
15373,15373,7,12
15374,15374,8,11
15375,15375,6,11
15376,15376,8,10
15377,15377,6,10
15378,15378,6,9
15379,15379,7,8
15380,15380,5,11
15381,15381,5,10
15382,15382,5,12
15383,15383,5,11
15384,15384,8,8
15385,15385,8,9
15386,15386,8,9
15387,15387,7,10
15388,15388,7,10
15389,15389,7,11
15390,15390,7,8
15391,15391,8,11
15392,15392,5,8
15393,15393,7,9
15394,15394,8,10
15395,15395,5,10
15396,15396,5,11
15397,15397,7,10
15398,15398,5,12
15399,15399,6,9
15400,15400,6,11
15401,15401,8,11
15402,15402,6,9
15403,15403,8,8
15404,15404,5,12
15405,15405,5,12
15406,15406,5,8
15407,15407,6,9
15408,15408,5,12
15409,15409,7,10
15410,15410,8,11
15411,15411,5,12
15412,15412,8,11
15413,15413,5,12
15414,15414,8,8
15415,15415,8,9
15416,15416,5,8
15417,15417,8,10
15418,15418,6,12
15419,15419,6,9
15420,15420,5,11
15421,15421,5,11
15422,15422,5,10
15423,15423,6,11
15424,15424,6,12
15425,15425,8,8
15426,15426,8,12
15427,15427,8,10
15428,15428,8,8
15429,15429,5,10
15430,15430,7,11
15431,15431,8,9
15432,15432,7,10
15433,15433,8,9
15434,15434,7,8
15435,15435,8,8
15436,15436,8,10
15437,15437,8,9
15438,15438,5,10
15439,15439,5,8
15440,15440,7,9
15441,15441,7,11
15442,15442,8,8
15443,15443,7,10
15444,15444,7,12
15445,15445,8,8
15446,15446,8,9
15447,15447,6,9
15448,15448,6,12
15449,15449,5,10
15450,15450,7,12
15451,15451,5,9
15452,15452,6,9
15453,15453,7,10
15454,15454,8,9
15455,15455,5,8
15456,15456,7,11
15457,15457,8,12
15458,15458,8,11
15459,15459,6,12
15460,15460,8,10
15461,15461,5,8
15462,15462,7,8
15463,15463,8,9
15464,15464,7,10
15465,15465,5,8
15466,15466,6,9
15467,15467,5,10
15468,15468,5,8
15469,15469,6,12
15470,15470,6,11
15471,15471,5,12
15472,15472,5,10
15473,15473,8,10
15474,15474,8,11
15475,15475,7,12
15476,15476,6,10
15477,15477,6,10
15478,15478,5,12
15479,15479,6,9
15480,15480,5,9
15481,15481,6,9
15482,15482,6,10
15483,15483,5,9
15484,15484,5,11
15485,15485,5,11
15486,15486,7,9
15487,15487,8,8
15488,15488,6,10
15489,15489,7,10
15490,15490,7,9
15491,15491,6,9
15492,15492,5,12
15493,15493,6,10
15494,15494,6,10
15495,15495,7,10
15496,15496,6,12
15497,15497,7,8
15498,15498,7,8
15499,15499,8,12
15500,15500,5,11
15501,15501,8,12
15502,15502,6,12
15503,15503,6,10
15504,15504,6,10
15505,15505,8,8
15506,15506,6,9
15507,15507,8,10
15508,15508,5,11
15509,15509,8,10
15510,15510,7,10
15511,15511,8,10
15512,15512,5,12
15513,15513,6,8
15514,15514,6,8
15515,15515,6,11
15516,15516,8,12
15517,15517,6,12
15518,15518,5,8
15519,15519,6,9
15520,15520,6,9
15521,15521,8,10
15522,15522,8,12
15523,15523,8,11
15524,15524,5,10
15525,15525,8,8
15526,15526,5,12
15527,15527,5,9
15528,15528,7,12
15529,15529,6,11
15530,15530,8,12
15531,15531,6,10
15532,15532,5,12
15533,15533,7,11
15534,15534,8,10
15535,15535,5,11
15536,15536,7,10
15537,15537,6,9
15538,15538,6,8
15539,15539,8,12
15540,15540,7,8
15541,15541,5,8
15542,15542,7,8
15543,15543,5,11
15544,15544,5,12
15545,15545,7,11
15546,15546,8,8
15547,15547,8,8
15548,15548,6,9
15549,15549,7,11
15550,15550,8,10
15551,15551,8,9
15552,15552,6,10
15553,15553,5,12
15554,15554,8,9
15555,15555,8,11
15556,15556,8,10
15557,15557,7,10
15558,15558,6,11
15559,15559,6,12
15560,15560,7,10
15561,15561,6,12
15562,15562,7,9
15563,15563,5,8
15564,15564,5,11
15565,15565,8,10
15566,15566,6,8
15567,15567,7,9
15568,15568,8,11
15569,15569,8,10
15570,15570,7,11
15571,15571,7,9
