IDCLIENTE,OFERTAID,CANTIDAD,FECHAINICIAL,FECHAFINAL
7321,7322,7321,18/05/2020,24/05/2020
7322,7323,7322,18/05/2020,20/05/2020
7323,7324,7323,23/05/2020,21/05/2020
7324,7325,7324,20/05/2020,23/05/2020
7325,7326,7325,18/05/2020,18/05/2020
7326,7327,7326,22/05/2020,21/05/2020
7327,7328,7327,22/05/2020,19/05/2020
7328,7329,7328,22/05/2020,23/05/2020
7329,7330,7329,21/05/2020,23/05/2020
7330,7331,7330,18/05/2020,20/05/2020
7331,7332,7331,22/05/2020,23/05/2020
7332,7333,7332,23/05/2020,21/05/2020
7333,7334,7333,18/05/2020,20/05/2020
7334,7335,7334,20/05/2020,18/05/2020
7335,7336,7335,23/05/2020,22/05/2020
7336,7337,7336,21/05/2020,21/05/2020
7337,7338,7337,21/05/2020,20/05/2020
7338,7339,7338,19/05/2020,19/05/2020
7339,7340,7339,20/05/2020,20/05/2020
7340,7341,7340,23/05/2020,23/05/2020
7341,7342,7341,18/05/2020,23/05/2020
7342,7343,7342,22/05/2020,20/05/2020
7343,7344,7343,22/05/2020,22/05/2020
7344,7345,7344,20/05/2020,23/05/2020
7345,7346,7345,24/05/2020,21/05/2020
7346,7347,7346,23/05/2020,20/05/2020
7347,7348,7347,20/05/2020,23/05/2020
7348,7349,7348,20/05/2020,20/05/2020
7349,7350,7349,19/05/2020,24/05/2020
7350,7351,7350,19/05/2020,19/05/2020
7351,7352,7351,20/05/2020,20/05/2020
7352,7353,7352,20/05/2020,19/05/2020
7353,7354,7353,24/05/2020,18/05/2020
7354,7355,7354,19/05/2020,21/05/2020
7355,7356,7355,24/05/2020,20/05/2020
7356,7357,7356,20/05/2020,21/05/2020
7357,7358,7357,19/05/2020,19/05/2020
7358,7359,7358,24/05/2020,24/05/2020
7359,7360,7359,24/05/2020,24/05/2020
7360,7361,7360,22/05/2020,18/05/2020
7361,7362,7361,23/05/2020,21/05/2020
7362,7363,7362,24/05/2020,24/05/2020
7363,7364,7363,21/05/2020,20/05/2020
7364,7365,7364,21/05/2020,21/05/2020
7365,7366,7365,24/05/2020,23/05/2020
7366,7367,7366,18/05/2020,18/05/2020
7367,7368,7367,21/05/2020,21/05/2020
7368,7369,7368,21/05/2020,19/05/2020
7369,7370,7369,19/05/2020,22/05/2020
7370,7371,7370,20/05/2020,20/05/2020
7371,7372,7371,20/05/2020,18/05/2020
7372,7373,7372,24/05/2020,21/05/2020
7373,7374,7373,18/05/2020,20/05/2020
7374,7375,7374,20/05/2020,23/05/2020
7375,7376,7375,24/05/2020,18/05/2020
7376,7377,7376,23/05/2020,19/05/2020
7377,7378,7377,20/05/2020,22/05/2020
7378,7379,7378,23/05/2020,22/05/2020
7379,7380,7379,22/05/2020,22/05/2020
7380,7381,7380,24/05/2020,23/05/2020
7381,7382,7381,23/05/2020,23/05/2020
7382,7383,7382,23/05/2020,24/05/2020
7383,7384,7383,22/05/2020,21/05/2020
7384,7385,7384,18/05/2020,24/05/2020
7385,7386,7385,21/05/2020,20/05/2020
7386,7387,7386,24/05/2020,21/05/2020
7387,7388,7387,20/05/2020,21/05/2020
7388,7389,7388,20/05/2020,24/05/2020
7389,7390,7389,22/05/2020,24/05/2020
7390,7391,7390,21/05/2020,20/05/2020
7391,7392,7391,19/05/2020,20/05/2020
7392,7393,7392,24/05/2020,22/05/2020
7393,7394,7393,20/05/2020,20/05/2020
7394,7395,7394,23/05/2020,24/05/2020
7395,7396,7395,24/05/2020,18/05/2020
7396,7397,7396,18/05/2020,22/05/2020
7397,7398,7397,20/05/2020,19/05/2020
7398,7399,7398,24/05/2020,20/05/2020
7399,7400,7399,19/05/2020,24/05/2020
7400,7401,7400,22/05/2020,21/05/2020
7401,7402,7401,22/05/2020,20/05/2020
7402,7403,7402,18/05/2020,23/05/2020
7403,7404,7403,21/05/2020,21/05/2020
7404,7405,7404,24/05/2020,21/05/2020
7405,7406,7405,23/05/2020,24/05/2020
7406,7407,7406,23/05/2020,23/05/2020
7407,7408,7407,24/05/2020,20/05/2020
7408,7409,7408,18/05/2020,22/05/2020
7409,7410,7409,23/05/2020,22/05/2020
7410,7411,7410,22/05/2020,22/05/2020
7411,7412,7411,20/05/2020,23/05/2020
7412,7413,7412,19/05/2020,21/05/2020
7413,7414,7413,19/05/2020,23/05/2020
7414,7415,7414,19/05/2020,24/05/2020
7415,7416,7415,18/05/2020,22/05/2020
7416,7417,7416,21/05/2020,19/05/2020
7417,7418,7417,18/05/2020,18/05/2020
7418,7419,7418,18/05/2020,24/05/2020
7419,7420,7419,22/05/2020,24/05/2020
7420,7421,7420,18/05/2020,24/05/2020
7421,7422,7421,24/05/2020,19/05/2020
7422,7423,7422,22/05/2020,24/05/2020
7423,7424,7423,21/05/2020,20/05/2020
7424,7425,7424,21/05/2020,20/05/2020
7425,7426,7425,21/05/2020,24/05/2020
7426,7427,7426,24/05/2020,23/05/2020
7427,7428,7427,23/05/2020,21/05/2020
7428,7429,7428,18/05/2020,20/05/2020
7429,7430,7429,23/05/2020,20/05/2020
7430,7431,7430,18/05/2020,22/05/2020
7431,7432,7431,22/05/2020,18/05/2020
7432,7433,7432,24/05/2020,22/05/2020
7433,7434,7433,20/05/2020,21/05/2020
7434,7435,7434,20/05/2020,20/05/2020
7435,7436,7435,18/05/2020,18/05/2020
7436,7437,7436,23/05/2020,19/05/2020
7437,7438,7437,21/05/2020,22/05/2020
7438,7439,7438,20/05/2020,18/05/2020
7439,7440,7439,23/05/2020,23/05/2020
7440,7441,7440,24/05/2020,20/05/2020
7441,7442,7441,21/05/2020,24/05/2020
7442,7443,7442,21/05/2020,19/05/2020
7443,7444,7443,20/05/2020,23/05/2020
7444,7445,7444,21/05/2020,18/05/2020
7445,7446,7445,24/05/2020,19/05/2020
7446,7447,7446,23/05/2020,21/05/2020
7447,7448,7447,23/05/2020,21/05/2020
7448,7449,7448,21/05/2020,20/05/2020
7449,7450,7449,24/05/2020,21/05/2020
7450,7451,7450,19/05/2020,24/05/2020
7451,7452,7451,18/05/2020,19/05/2020
7452,7453,7452,23/05/2020,20/05/2020
7453,7454,7453,24/05/2020,23/05/2020
7454,7455,7454,18/05/2020,22/05/2020
7455,7456,7455,19/05/2020,20/05/2020
7456,7457,7456,21/05/2020,23/05/2020
7457,7458,7457,23/05/2020,22/05/2020
7458,7459,7458,24/05/2020,19/05/2020
7459,7460,7459,24/05/2020,20/05/2020
7460,7461,7460,22/05/2020,22/05/2020
7461,7462,7461,22/05/2020,24/05/2020
7462,7463,7462,19/05/2020,22/05/2020
7463,7464,7463,19/05/2020,20/05/2020
7464,7465,7464,20/05/2020,21/05/2020
7465,7466,7465,22/05/2020,24/05/2020
7466,7467,7466,20/05/2020,24/05/2020
7467,7468,7467,18/05/2020,18/05/2020
7468,7469,7468,21/05/2020,20/05/2020
7469,7470,7469,21/05/2020,24/05/2020
7470,7471,7470,23/05/2020,20/05/2020
7471,7472,7471,23/05/2020,19/05/2020
7472,7473,7472,19/05/2020,23/05/2020
7473,7474,7473,24/05/2020,18/05/2020
7474,7475,7474,22/05/2020,19/05/2020
7475,7476,7475,21/05/2020,18/05/2020
7476,7477,7476,24/05/2020,24/05/2020
7477,7478,7477,19/05/2020,24/05/2020
7478,7479,7478,20/05/2020,20/05/2020
7479,7480,7479,23/05/2020,18/05/2020
7480,7481,7480,23/05/2020,22/05/2020
7481,7482,7481,24/05/2020,18/05/2020
7482,7483,7482,20/05/2020,20/05/2020
7483,7484,7483,21/05/2020,20/05/2020
7484,7485,7484,20/05/2020,21/05/2020
7485,7486,7485,19/05/2020,22/05/2020
7486,7487,7486,18/05/2020,22/05/2020
7487,7488,7487,22/05/2020,19/05/2020
7488,7489,7488,20/05/2020,24/05/2020
7489,7490,7489,23/05/2020,19/05/2020
7490,7491,7490,21/05/2020,24/05/2020
7491,7492,7491,21/05/2020,20/05/2020
7492,7493,7492,18/05/2020,20/05/2020
7493,7494,7493,19/05/2020,23/05/2020
7494,7495,7494,23/05/2020,23/05/2020
7495,7496,7495,23/05/2020,22/05/2020
7496,7497,7496,21/05/2020,22/05/2020
7497,7498,7497,21/05/2020,18/05/2020
7498,7499,7498,23/05/2020,24/05/2020
7499,7500,7499,20/05/2020,18/05/2020
7500,7501,7500,19/05/2020,20/05/2020
7501,7502,7501,21/05/2020,21/05/2020
7502,7503,7502,24/05/2020,23/05/2020
7503,7504,7503,22/05/2020,20/05/2020
7504,7505,7504,22/05/2020,24/05/2020
7505,7506,7505,21/05/2020,24/05/2020
7506,7507,7506,24/05/2020,24/05/2020
7507,7508,7507,21/05/2020,20/05/2020
7508,7509,7508,24/05/2020,23/05/2020
7509,7510,7509,24/05/2020,22/05/2020
7510,7511,7510,24/05/2020,22/05/2020
7511,7512,7511,20/05/2020,24/05/2020
7512,7513,7512,22/05/2020,18/05/2020
7513,7514,7513,24/05/2020,23/05/2020
7514,7515,7514,20/05/2020,19/05/2020
7515,7516,7515,19/05/2020,20/05/2020
7516,7517,7516,21/05/2020,23/05/2020
7517,7518,7517,21/05/2020,19/05/2020
7518,7519,7518,24/05/2020,22/05/2020
7519,7520,7519,21/05/2020,19/05/2020
7520,7521,7520,23/05/2020,18/05/2020
7521,7522,7521,18/05/2020,24/05/2020
7522,7523,7522,20/05/2020,18/05/2020
7523,7524,7523,24/05/2020,18/05/2020
7524,7525,7524,18/05/2020,24/05/2020
7525,7526,7525,18/05/2020,20/05/2020
7526,7527,7526,22/05/2020,21/05/2020
7527,7528,7527,18/05/2020,19/05/2020
7528,7529,7528,23/05/2020,22/05/2020
7529,7530,7529,19/05/2020,21/05/2020
7530,7531,7530,20/05/2020,20/05/2020
7531,7532,7531,23/05/2020,23/05/2020
7532,7533,7532,19/05/2020,22/05/2020
7533,7534,7533,19/05/2020,18/05/2020
7534,7535,7534,18/05/2020,23/05/2020
7535,7536,7535,24/05/2020,20/05/2020
7536,7537,7536,20/05/2020,22/05/2020
7537,7538,7537,21/05/2020,18/05/2020
7538,7539,7538,21/05/2020,22/05/2020
7539,7540,7539,23/05/2020,19/05/2020
7540,7541,7540,23/05/2020,23/05/2020
7541,7542,7541,21/05/2020,18/05/2020
7542,7543,7542,21/05/2020,22/05/2020
7543,7544,7543,20/05/2020,24/05/2020
7544,7545,7544,19/05/2020,20/05/2020
7545,7546,7545,19/05/2020,18/05/2020
7546,7547,7546,23/05/2020,24/05/2020
7547,7548,7547,19/05/2020,23/05/2020
7548,7549,7548,21/05/2020,23/05/2020
7549,7550,7549,21/05/2020,21/05/2020
7550,7551,7550,20/05/2020,20/05/2020
7551,7552,7551,24/05/2020,20/05/2020
7552,7553,7552,18/05/2020,19/05/2020
7553,7554,7553,20/05/2020,24/05/2020
7554,7555,7554,19/05/2020,24/05/2020
7555,7556,7555,19/05/2020,24/05/2020
7556,7557,7556,22/05/2020,19/05/2020
7557,7558,7557,19/05/2020,18/05/2020
7558,7559,7558,23/05/2020,18/05/2020
7559,7560,7559,24/05/2020,20/05/2020
7560,7561,7560,23/05/2020,20/05/2020
7561,7562,7561,22/05/2020,24/05/2020
7562,7563,7562,20/05/2020,20/05/2020
7563,7564,7563,18/05/2020,18/05/2020
7564,7565,7564,24/05/2020,24/05/2020
7565,7566,7565,18/05/2020,22/05/2020
7566,7567,7566,21/05/2020,20/05/2020
7567,7568,7567,19/05/2020,23/05/2020
7568,7569,7568,20/05/2020,18/05/2020
7569,7570,7569,23/05/2020,19/05/2020
7570,7571,7570,24/05/2020,23/05/2020
7571,7572,7571,21/05/2020,20/05/2020
7572,7573,7572,21/05/2020,23/05/2020
7573,7574,7573,20/05/2020,22/05/2020
7574,7575,7574,20/05/2020,20/05/2020
7575,7576,7575,23/05/2020,23/05/2020
7576,7577,7576,22/05/2020,24/05/2020
7577,7578,7577,18/05/2020,23/05/2020
7578,7579,7578,19/05/2020,23/05/2020
7579,7580,7579,23/05/2020,19/05/2020
7580,7581,7580,20/05/2020,23/05/2020
7581,7582,7581,23/05/2020,22/05/2020
7582,7583,7582,22/05/2020,18/05/2020
7583,7584,7583,21/05/2020,22/05/2020
7584,7585,7584,21/05/2020,19/05/2020
7585,7586,7585,22/05/2020,22/05/2020
7586,7587,7586,23/05/2020,19/05/2020
7587,7588,7587,18/05/2020,23/05/2020
7588,7589,7588,19/05/2020,23/05/2020
7589,7590,7589,23/05/2020,22/05/2020
7590,7591,7590,20/05/2020,18/05/2020
7591,7592,7591,20/05/2020,22/05/2020
7592,7593,7592,24/05/2020,20/05/2020
7593,7594,7593,21/05/2020,24/05/2020
7594,7595,7594,20/05/2020,23/05/2020
7595,7596,7595,22/05/2020,22/05/2020
7596,7597,7596,22/05/2020,20/05/2020
7597,7598,7597,19/05/2020,23/05/2020
7598,7599,7598,18/05/2020,22/05/2020
7599,7600,7599,21/05/2020,18/05/2020
7600,7601,7600,18/05/2020,22/05/2020
7601,7602,7601,20/05/2020,20/05/2020
7602,7603,7602,22/05/2020,20/05/2020
7603,7604,7603,24/05/2020,19/05/2020
7604,7605,7604,24/05/2020,18/05/2020
7605,7606,7605,18/05/2020,24/05/2020
7606,7607,7606,20/05/2020,20/05/2020
7607,7608,7607,18/05/2020,22/05/2020
7608,7609,7608,19/05/2020,21/05/2020
7609,7610,7609,20/05/2020,20/05/2020
7610,7611,7610,22/05/2020,20/05/2020
7611,7612,7611,24/05/2020,20/05/2020
7612,7613,7612,22/05/2020,22/05/2020
7613,7614,7613,22/05/2020,24/05/2020
7614,7615,7614,19/05/2020,18/05/2020
7615,7616,7615,20/05/2020,23/05/2020
7616,7617,7616,22/05/2020,22/05/2020
7617,7618,7617,19/05/2020,19/05/2020
7618,7619,7618,24/05/2020,21/05/2020
7619,7620,7619,19/05/2020,24/05/2020
7620,7621,7620,18/05/2020,24/05/2020
7621,7622,7621,18/05/2020,24/05/2020
7622,7623,7622,19/05/2020,19/05/2020
7623,7624,7623,24/05/2020,24/05/2020
7624,7625,7624,18/05/2020,24/05/2020
7625,7626,7625,22/05/2020,24/05/2020
7626,7627,7626,22/05/2020,19/05/2020
7627,7628,7627,18/05/2020,24/05/2020
7628,7629,7628,19/05/2020,23/05/2020
7629,7630,7629,20/05/2020,24/05/2020
7630,7631,7630,19/05/2020,21/05/2020
7631,7632,7631,18/05/2020,22/05/2020
7632,7633,7632,20/05/2020,24/05/2020
7633,7634,7633,20/05/2020,18/05/2020
7634,7635,7634,23/05/2020,20/05/2020
7635,7636,7635,22/05/2020,21/05/2020
7636,7637,7636,24/05/2020,20/05/2020
7637,7638,7637,20/05/2020,20/05/2020
7638,7639,7638,19/05/2020,21/05/2020
7639,7640,7639,24/05/2020,19/05/2020
7640,7641,7640,21/05/2020,18/05/2020
7641,7642,7641,20/05/2020,23/05/2020
7642,7643,7642,21/05/2020,20/05/2020
7643,7644,7643,22/05/2020,20/05/2020
7644,7645,7644,22/05/2020,22/05/2020
7645,7646,7645,23/05/2020,20/05/2020
7646,7647,7646,19/05/2020,21/05/2020
7647,7648,7647,19/05/2020,20/05/2020
7648,7649,7648,22/05/2020,23/05/2020
7649,7650,7649,20/05/2020,24/05/2020
7650,7651,7650,21/05/2020,21/05/2020
7651,7652,7651,24/05/2020,24/05/2020
7652,7653,7652,22/05/2020,18/05/2020
7653,7654,7653,20/05/2020,24/05/2020
7654,7655,7654,18/05/2020,22/05/2020
7655,7656,7655,23/05/2020,19/05/2020
7656,7657,7656,20/05/2020,22/05/2020
7657,7658,7657,24/05/2020,20/05/2020
7658,7659,7658,24/05/2020,21/05/2020
7659,7660,7659,21/05/2020,21/05/2020
7660,7661,7660,23/05/2020,20/05/2020
7661,7662,7661,23/05/2020,18/05/2020
7662,7663,7662,21/05/2020,24/05/2020
7663,7664,7663,18/05/2020,24/05/2020
7664,7665,7664,18/05/2020,21/05/2020
7665,7666,7665,19/05/2020,23/05/2020
7666,7667,7666,23/05/2020,22/05/2020
7667,7668,7667,24/05/2020,22/05/2020
7668,7669,7668,22/05/2020,18/05/2020
7669,7670,7669,19/05/2020,22/05/2020
7670,7671,7670,18/05/2020,18/05/2020
7671,7672,7671,23/05/2020,22/05/2020
7672,7673,7672,21/05/2020,22/05/2020
7673,7674,7673,20/05/2020,18/05/2020
7674,7675,7674,20/05/2020,21/05/2020
7675,7676,7675,18/05/2020,18/05/2020
7676,7677,7676,22/05/2020,23/05/2020
7677,7678,7677,22/05/2020,18/05/2020
7678,7679,7678,23/05/2020,19/05/2020
7679,7680,7679,24/05/2020,22/05/2020
7680,7681,7680,19/05/2020,19/05/2020
7681,7682,7681,21/05/2020,20/05/2020
7682,7683,7682,20/05/2020,23/05/2020
7683,7684,7683,20/05/2020,24/05/2020
7684,7685,7684,24/05/2020,20/05/2020
7685,7686,7685,22/05/2020,22/05/2020
7686,7687,7686,22/05/2020,21/05/2020
7687,7688,7687,18/05/2020,24/05/2020
7688,7689,7688,23/05/2020,24/05/2020
7689,7690,7689,20/05/2020,23/05/2020
7690,7691,7690,21/05/2020,18/05/2020
7691,7692,7691,19/05/2020,18/05/2020
7692,7693,7692,18/05/2020,23/05/2020
7693,7694,7693,19/05/2020,23/05/2020
7694,7695,7694,23/05/2020,20/05/2020
7695,7696,7695,21/05/2020,18/05/2020
7696,7697,7696,22/05/2020,24/05/2020
7697,7698,7697,24/05/2020,24/05/2020
7698,7699,7698,19/05/2020,18/05/2020
7699,7700,7699,24/05/2020,22/05/2020
7700,7701,7700,24/05/2020,21/05/2020
7701,7702,7701,23/05/2020,23/05/2020
7702,7703,7702,22/05/2020,22/05/2020
7703,7704,7703,21/05/2020,18/05/2020
7704,7705,7704,24/05/2020,21/05/2020
7705,7706,7705,20/05/2020,20/05/2020
7706,7707,7706,22/05/2020,21/05/2020
7707,7708,7707,20/05/2020,24/05/2020
7708,7709,7708,21/05/2020,19/05/2020
7709,7710,7709,23/05/2020,19/05/2020
7710,7711,7710,24/05/2020,22/05/2020
7711,7712,7711,18/05/2020,21/05/2020
7712,7713,7712,22/05/2020,19/05/2020
7713,7714,7713,19/05/2020,24/05/2020
7714,7715,7714,19/05/2020,23/05/2020
7715,7716,7715,24/05/2020,19/05/2020
7716,7717,7716,24/05/2020,18/05/2020
7717,7718,7717,23/05/2020,20/05/2020
7718,7719,7718,20/05/2020,22/05/2020
7719,7720,7719,19/05/2020,24/05/2020
7720,7721,7720,22/05/2020,24/05/2020
7721,7722,7721,22/05/2020,18/05/2020
7722,7723,7722,18/05/2020,22/05/2020
7723,7724,7723,24/05/2020,21/05/2020
7724,7725,7724,20/05/2020,19/05/2020
7725,7726,7725,19/05/2020,19/05/2020
7726,7727,7726,23/05/2020,20/05/2020
7727,7728,7727,18/05/2020,18/05/2020
7728,7729,7728,24/05/2020,20/05/2020
7729,7730,7729,22/05/2020,21/05/2020
7730,7731,7730,19/05/2020,21/05/2020
7731,7732,7731,23/05/2020,23/05/2020
7732,7733,7732,18/05/2020,23/05/2020
7733,7734,7733,20/05/2020,21/05/2020
7734,7735,7734,21/05/2020,23/05/2020
7735,7736,7735,24/05/2020,18/05/2020
7736,7737,7736,24/05/2020,24/05/2020
7737,7738,7737,19/05/2020,24/05/2020
7738,7739,7738,20/05/2020,23/05/2020
7739,7740,7739,24/05/2020,24/05/2020
7740,7741,7740,19/05/2020,22/05/2020
7741,7742,7741,21/05/2020,22/05/2020
7742,7743,7742,19/05/2020,22/05/2020
7743,7744,7743,24/05/2020,22/05/2020
7744,7745,7744,19/05/2020,18/05/2020
7745,7746,7745,20/05/2020,21/05/2020
7746,7747,7746,24/05/2020,20/05/2020
7747,7748,7747,22/05/2020,20/05/2020
7748,7749,7748,23/05/2020,23/05/2020
7749,7750,7749,24/05/2020,18/05/2020
7750,7751,7750,21/05/2020,22/05/2020
7751,7752,7751,19/05/2020,24/05/2020
7752,7753,7752,23/05/2020,19/05/2020
7753,7754,7753,18/05/2020,24/05/2020
7754,7755,7754,22/05/2020,18/05/2020
7755,7756,7755,18/05/2020,19/05/2020
7756,7757,7756,21/05/2020,19/05/2020
7757,7758,7757,21/05/2020,18/05/2020
7758,7759,7758,24/05/2020,19/05/2020
7759,7760,7759,18/05/2020,21/05/2020
7760,7761,7760,22/05/2020,19/05/2020
7761,7762,7761,23/05/2020,23/05/2020
7762,7763,7762,22/05/2020,19/05/2020
7763,7764,7763,22/05/2020,21/05/2020
7764,7765,7764,22/05/2020,23/05/2020
7765,7766,7765,22/05/2020,24/05/2020
7766,7767,7766,18/05/2020,22/05/2020
7767,7768,7767,21/05/2020,24/05/2020
7768,7769,7768,21/05/2020,19/05/2020
7769,7770,7769,23/05/2020,23/05/2020
7770,7771,7770,20/05/2020,24/05/2020
7771,7772,7771,22/05/2020,21/05/2020
7772,7773,7772,21/05/2020,18/05/2020
7773,7774,7773,21/05/2020,19/05/2020
7774,7775,7774,22/05/2020,23/05/2020
7775,7776,7775,24/05/2020,20/05/2020
7776,7777,7776,24/05/2020,19/05/2020
7777,7778,7777,24/05/2020,23/05/2020
7778,7779,7778,23/05/2020,23/05/2020
7779,7780,7779,20/05/2020,23/05/2020
7780,7781,7780,18/05/2020,23/05/2020
7781,7782,7781,19/05/2020,19/05/2020
7782,7783,7782,24/05/2020,19/05/2020
7783,7784,7783,20/05/2020,20/05/2020
7784,7785,7784,22/05/2020,23/05/2020
7785,7786,7785,19/05/2020,20/05/2020
7786,7787,7786,24/05/2020,19/05/2020
7787,7788,7787,19/05/2020,21/05/2020
7788,7789,7788,23/05/2020,19/05/2020
7789,7790,7789,19/05/2020,24/05/2020
7790,7791,7790,22/05/2020,20/05/2020
7791,7792,7791,18/05/2020,24/05/2020
7792,7793,7792,19/05/2020,20/05/2020
7793,7794,7793,22/05/2020,19/05/2020
7794,7795,7794,23/05/2020,22/05/2020
7795,7796,7795,22/05/2020,21/05/2020
7796,7797,7796,19/05/2020,21/05/2020
7797,7798,7797,19/05/2020,22/05/2020
7798,7799,7798,24/05/2020,23/05/2020
7799,7800,7799,18/05/2020,22/05/2020
7800,7801,7800,18/05/2020,18/05/2020
7801,7802,7801,22/05/2020,22/05/2020
7802,7803,7802,19/05/2020,24/05/2020
7803,7804,7803,24/05/2020,22/05/2020
7804,7805,7804,19/05/2020,20/05/2020
7805,7806,7805,24/05/2020,20/05/2020
7806,7807,7806,18/05/2020,22/05/2020
7807,7808,7807,24/05/2020,18/05/2020
7808,7809,7808,22/05/2020,18/05/2020
7809,7810,7809,23/05/2020,20/05/2020
7810,7811,7810,20/05/2020,22/05/2020
7811,7812,7811,19/05/2020,19/05/2020
7812,7813,7812,19/05/2020,22/05/2020
7813,7814,7813,19/05/2020,23/05/2020
7814,7815,7814,22/05/2020,18/05/2020
7815,7816,7815,18/05/2020,21/05/2020
7816,7817,7816,21/05/2020,19/05/2020
7817,7818,7817,20/05/2020,22/05/2020
7818,7819,7818,20/05/2020,20/05/2020
7819,7820,7819,23/05/2020,24/05/2020
7820,7821,7820,19/05/2020,22/05/2020
7821,7822,7821,18/05/2020,19/05/2020
7822,7823,7822,22/05/2020,24/05/2020
7823,7824,7823,20/05/2020,19/05/2020
7824,7825,7824,21/05/2020,24/05/2020
7825,7826,7825,19/05/2020,20/05/2020
7826,7827,7826,19/05/2020,20/05/2020
7827,7828,7827,24/05/2020,21/05/2020
7828,7829,7828,19/05/2020,22/05/2020
7829,7830,7829,23/05/2020,19/05/2020
7830,7831,7830,22/05/2020,21/05/2020
7831,7832,7831,20/05/2020,20/05/2020
7832,7833,7832,18/05/2020,22/05/2020
7833,7834,7833,22/05/2020,23/05/2020
7834,7835,7834,23/05/2020,19/05/2020
7835,7836,7835,22/05/2020,23/05/2020
7836,7837,7836,24/05/2020,18/05/2020
7837,7838,7837,24/05/2020,23/05/2020
7838,7839,7838,19/05/2020,21/05/2020
7839,7840,7839,19/05/2020,18/05/2020
7840,7841,7840,21/05/2020,19/05/2020
7841,7842,7841,20/05/2020,20/05/2020
7842,7843,7842,20/05/2020,19/05/2020
7843,7844,7843,20/05/2020,24/05/2020
7844,7845,7844,21/05/2020,18/05/2020
7845,7846,7845,21/05/2020,22/05/2020
7846,7847,7846,24/05/2020,20/05/2020
7847,7848,7847,23/05/2020,24/05/2020
7848,7849,7848,18/05/2020,22/05/2020
7849,7850,7849,18/05/2020,22/05/2020
7850,7851,7850,20/05/2020,19/05/2020
7851,7852,7851,19/05/2020,18/05/2020
7852,7853,7852,22/05/2020,18/05/2020
7853,7854,7853,21/05/2020,19/05/2020
7854,7855,7854,24/05/2020,23/05/2020
7855,7856,7855,24/05/2020,24/05/2020
7856,7857,7856,22/05/2020,21/05/2020
7857,7858,7857,23/05/2020,22/05/2020
7858,7859,7858,23/05/2020,23/05/2020
7859,7860,7859,24/05/2020,23/05/2020
7860,7861,7860,18/05/2020,18/05/2020
7861,7862,7861,22/05/2020,21/05/2020
7862,7863,7862,21/05/2020,20/05/2020
7863,7864,7863,19/05/2020,24/05/2020
7864,7865,7864,24/05/2020,24/05/2020
7865,7866,7865,21/05/2020,23/05/2020
7866,7867,7866,23/05/2020,19/05/2020
7867,7868,7867,20/05/2020,18/05/2020
7868,7869,7868,23/05/2020,19/05/2020
7869,7870,7869,18/05/2020,18/05/2020
7870,7871,7870,19/05/2020,19/05/2020
7871,7872,7871,18/05/2020,23/05/2020
7872,7873,7872,24/05/2020,19/05/2020
7873,7874,7873,21/05/2020,24/05/2020
7874,7875,7874,21/05/2020,23/05/2020
7875,7876,7875,19/05/2020,21/05/2020
7876,7877,7876,18/05/2020,18/05/2020
7877,7878,7877,22/05/2020,22/05/2020
7878,7879,7878,24/05/2020,23/05/2020
7879,7880,7879,21/05/2020,24/05/2020
7880,7881,7880,24/05/2020,21/05/2020
7881,7882,7881,23/05/2020,24/05/2020
7882,7883,7882,22/05/2020,19/05/2020
7883,7884,7883,19/05/2020,22/05/2020
7884,7885,7884,24/05/2020,23/05/2020
7885,7886,7885,19/05/2020,24/05/2020
7886,7887,7886,21/05/2020,19/05/2020
7887,7888,7887,20/05/2020,20/05/2020
7888,7889,7888,23/05/2020,23/05/2020
7889,7890,7889,19/05/2020,19/05/2020
7890,7891,7890,24/05/2020,21/05/2020
7891,7892,7891,24/05/2020,24/05/2020
7892,7893,7892,21/05/2020,22/05/2020
7893,7894,7893,22/05/2020,21/05/2020
7894,7895,7894,19/05/2020,20/05/2020
7895,7896,7895,22/05/2020,19/05/2020
7896,7897,7896,22/05/2020,24/05/2020
7897,7898,7897,21/05/2020,18/05/2020
7898,7899,7898,24/05/2020,19/05/2020
7899,7900,7899,20/05/2020,24/05/2020
7900,7901,7900,20/05/2020,18/05/2020
7901,7902,7901,18/05/2020,18/05/2020
7902,7903,7902,24/05/2020,24/05/2020
7903,7904,7903,22/05/2020,24/05/2020
7904,7905,7904,23/05/2020,22/05/2020
7905,7906,7905,20/05/2020,22/05/2020
7906,7907,7906,18/05/2020,18/05/2020
7907,7908,7907,20/05/2020,24/05/2020
7908,7909,7908,21/05/2020,19/05/2020
7909,7910,7909,21/05/2020,19/05/2020
7910,7911,7910,21/05/2020,19/05/2020
7911,7912,7911,22/05/2020,21/05/2020
7912,7913,7912,22/05/2020,22/05/2020
7913,7914,7913,18/05/2020,18/05/2020
7914,7915,7914,21/05/2020,18/05/2020
7915,7916,7915,22/05/2020,20/05/2020
7916,7917,7916,23/05/2020,18/05/2020
7917,7918,7917,20/05/2020,18/05/2020
7918,7919,7918,18/05/2020,19/05/2020
7919,7920,7919,22/05/2020,22/05/2020
7920,7921,7920,24/05/2020,18/05/2020
7921,7922,7921,19/05/2020,19/05/2020
7922,7923,7922,24/05/2020,24/05/2020
7923,7924,7923,19/05/2020,22/05/2020
7924,7925,7924,21/05/2020,23/05/2020
7925,7926,7925,19/05/2020,22/05/2020
7926,7927,7926,24/05/2020,22/05/2020
