NUMOFERTA, IDOPERADOR, IDLUGAR, TIPOLUGAR, HABILITADA, FECHAINICIAL, FECHAFINAL, PRECIO
 16716,16716,16716,habitación vivienda ,1,05/12/2018,14/11/2019,3781232
 16717,16717,16717,suite hotel,0,24/01/2019,18/02/2020,2463518
 16718,16718,16718,habitación hotel,0,16/01/2018,28/12/2019,1253959
 16719,16719,16719,habitación vivienda ,1,09/12/2019,07/10/2019,1883368
 16720,16720,16720,habitación vivienda universitaria,0,25/05/2019,02/03/2019,2929646
 16721,16721,16721,suite hotel,0,18/09/2018,28/09/2018,3764429
 16722,16722,16722,suite vivienda universitaria,0,23/04/2018,12/06/2019,2386404
 16723,16723,16723,habitación vivienda ,1,07/11/2018,03/02/2020,791629
 16724,16724,16724,habitación vivienda universitaria,0,03/07/2018,15/01/2019,2125833
 16725,16725,16725,habitación vivienda ,1,04/01/2019,23/12/2018,469462
 16726,16726,16726,suite vivienda universitaria,1,14/05/2018,09/10/2018,3379391
 16727,16727,16727,habitación hostal,0,01/10/2018,24/10/2019,2363046
 16728,16728,16728,suite vivienda universitaria,0,26/03/2020,08/05/2018,540965
 16729,16729,16729,habitación hostal,1,29/01/2019,27/02/2018,2322428
 16730,16730,16730,suite vivienda universitaria,1,02/12/2019,12/04/2018,654219
 16731,16731,16731,suite vivienda universitaria,0,05/12/2019,20/06/2019,1172331
 16732,16732,16732,suite hotel,0,22/11/2018,01/12/2019,900549
 16733,16733,16733,suite hotel,1,30/11/2019,04/05/2018,495434
 16734,16734,16734,suite vivienda universitaria,1,09/04/2020,07/12/2018,1439802
 16735,16735,16735,habitación hotel,1,29/04/2018,14/12/2019,3953769
 16736,16736,16736,vivienda,1,24/01/2019,22/06/2019,3157749
 16737,16737,16737,habitación hotel,0,10/10/2018,21/05/2018,3266597
 16738,16738,16738,habitación hostal,1,19/05/2018,10/02/2018,422956
 16739,16739,16739,habitación hotel,1,31/12/2019,24/09/2019,1735239
 16740,16740,16740,habitación hostal,1,26/02/2020,05/12/2019,297868
 16741,16741,16741,suite vivienda universitaria,0,25/01/2018,05/03/2019,1790104
 16742,16742,16742,habitación vivienda ,0,22/01/2019,17/02/2019,2640203
 16743,16743,16743,vivienda,1,02/02/2018,09/09/2018,378598
 16744,16744,16744,habitación hostal,1,06/07/2018,02/07/2019,1396562
 16745,16745,16745,habitación vivienda universitaria,0,07/08/2019,11/10/2018,1369357
 16746,16746,16746,habitación hotel,0,07/10/2018,01/10/2018,3891803
 16747,16747,16747,habitación hostal,1,13/10/2018,15/07/2018,3350447
 16748,16748,16748,suite vivienda universitaria,1,07/06/2019,01/04/2020,1707783
 16749,16749,16749,habitación hotel,0,20/05/2020,22/01/2020,1760059
 16750,16750,16750,habitación hotel,0,14/02/2018,03/01/2018,1833540
 16751,16751,16751,habitación hostal,1,03/09/2019,25/07/2018,927992
 16752,16752,16752,vivienda,0,04/07/2019,26/03/2018,1264894
 16753,16753,16753,habitación hotel,1,07/02/2020,06/06/2019,737056
 16754,16754,16754,habitación hostal,1,31/12/2018,26/07/2019,1739104
 16755,16755,16755,suite vivienda universitaria,0,13/05/2019,22/08/2018,3277418
 16756,16756,16756,habitación hostal,0,10/08/2018,01/01/2019,1363251
 16757,16757,16757,suite vivienda universitaria,0,24/02/2020,16/11/2019,186448
 16758,16758,16758,vivienda,0,17/06/2019,31/08/2018,370659
 16759,16759,16759,vivienda,0,29/01/2020,23/02/2018,3983077
 16760,16760,16760,habitación hotel,1,28/01/2019,20/07/2018,3155110
 16761,16761,16761,habitación vivienda universitaria,1,19/02/2020,27/02/2019,3842109
 16762,16762,16762,suite vivienda universitaria,0,18/06/2019,23/03/2019,3856360
 16763,16763,16763,vivienda,0,12/01/2019,13/06/2018,1031732
 16764,16764,16764,habitación hotel,1,29/11/2018,22/01/2019,863478
 16765,16765,16765,habitación vivienda ,0,06/11/2019,06/08/2019,3498462
 16766,16766,16766,habitación vivienda ,0,27/11/2019,24/10/2018,1594899
 16767,16767,16767,habitación hostal,0,18/01/2019,18/07/2019,3911413
 16768,16768,16768,habitación vivienda ,1,28/03/2019,07/07/2018,848674
 16769,16769,16769,habitación hotel,0,16/12/2019,15/02/2019,2603761
 16770,16770,16770,habitación hostal,1,24/08/2018,27/02/2019,922554
 16771,16771,16771,habitación hotel,1,24/02/2019,30/07/2019,855455
 16772,16772,16772,habitación vivienda ,1,13/07/2019,22/05/2019,3558365
 16773,16773,16773,suite hotel,1,13/09/2018,21/03/2019,760343
 16774,16774,16774,habitación hotel,1,29/08/2018,02/10/2018,2261717
 16775,16775,16775,habitación vivienda ,0,28/08/2019,01/02/2019,2112461
 16776,16776,16776,habitación hostal,1,07/09/2018,21/04/2020,2945088
 16777,16777,16777,habitación hostal,1,16/11/2018,27/02/2018,1945684
 16778,16778,16778,suite vivienda universitaria,1,23/09/2018,08/05/2019,1657748
 16779,16779,16779,habitación vivienda ,1,28/04/2020,24/11/2018,2016768
 16780,16780,16780,habitación hostal,1,27/02/2019,17/02/2019,1927174
 16781,16781,16781,suite vivienda universitaria,1,17/07/2018,09/06/2018,2515917
 16782,16782,16782,habitación vivienda ,1,07/08/2019,06/06/2019,2882870
 16783,16783,16783,habitación hostal,1,03/01/2020,26/02/2019,3013809
 16784,16784,16784,habitación hotel,0,23/04/2019,20/08/2018,3428369
 16785,16785,16785,habitación vivienda ,0,27/11/2018,22/09/2019,439290
 16786,16786,16786,suite vivienda universitaria,1,15/06/2019,18/03/2020,3899381
 16787,16787,16787,habitación hotel,0,03/12/2019,12/06/2019,303657
 16788,16788,16788,suite vivienda universitaria,1,12/06/2018,09/01/2019,1439456
 16789,16789,16789,habitación vivienda universitaria,1,02/02/2018,16/01/2019,2002128
 16790,16790,16790,habitación vivienda universitaria,1,15/10/2019,18/02/2018,3122387
 16791,16791,16791,habitación vivienda ,1,03/04/2020,24/04/2019,2473157
 16792,16792,16792,suite vivienda universitaria,0,07/12/2018,21/02/2019,1099041
 16793,16793,16793,suite vivienda universitaria,1,13/05/2018,01/11/2018,1568102
 16794,16794,16794,vivienda,0,23/04/2019,13/03/2020,2355359
 16795,16795,16795,habitación vivienda universitaria,0,30/05/2019,16/04/2018,1284052
 16796,16796,16796,habitación vivienda ,1,27/01/2019,05/05/2020,750660
 16797,16797,16797,habitación vivienda ,0,25/11/2019,28/04/2020,1465730
 16798,16798,16798,habitación vivienda ,0,03/06/2019,31/01/2019,2771115
 16799,16799,16799,habitación hostal,1,16/06/2019,12/05/2020,173298
 16800,16800,16800,suite vivienda universitaria,1,02/09/2019,26/03/2019,983687
 16801,16801,16801,suite vivienda universitaria,1,24/05/2019,05/02/2018,2226118
 16802,16802,16802,vivienda,1,05/07/2019,02/06/2019,1500459
 16803,16803,16803,habitación hostal,1,07/08/2019,14/11/2019,2203048
 16804,16804,16804,suite hotel,0,17/04/2019,08/07/2019,1255114
 16805,16805,16805,habitación vivienda ,0,21/09/2018,22/01/2020,2549647
 16806,16806,16806,habitación vivienda universitaria,0,11/04/2019,11/03/2018,2597076
 16807,16807,16807,suite hotel,0,06/09/2018,18/06/2019,3877777
 16808,16808,16808,vivienda,1,08/06/2018,24/12/2018,3292283
 16809,16809,16809,suite hotel,1,31/01/2019,28/09/2019,1016987
 16810,16810,16810,habitación vivienda ,1,04/08/2019,17/04/2019,1011371
 16811,16811,16811,suite hotel,1,01/08/2018,21/04/2020,1729894
 16812,16812,16812,suite vivienda universitaria,1,15/12/2018,07/06/2019,1189773
 16813,16813,16813,habitación hostal,1,08/02/2020,13/05/2019,1144237
 16814,16814,16814,suite hotel,0,18/11/2018,27/04/2019,3776378
 16815,16815,16815,habitación hotel,0,25/04/2019,08/08/2018,2545438
 16816,16816,16816,suite hotel,0,02/12/2018,23/09/2018,3592593
 16817,16817,16817,habitación vivienda ,0,21/04/2020,30/03/2019,1736778
 16818,16818,16818,suite hotel,1,15/05/2020,27/01/2018,3815380
 16819,16819,16819,habitación vivienda ,0,14/02/2018,29/01/2019,1205054
 16820,16820,16820,suite vivienda universitaria,1,01/05/2018,17/05/2018,1896536
 16821,16821,16821,habitación hotel,0,07/09/2018,12/03/2018,3211422
 16822,16822,16822,suite vivienda universitaria,0,08/05/2019,28/06/2018,3128443
 16823,16823,16823,habitación hotel,1,24/06/2018,30/01/2018,3738723
 16824,16824,16824,habitación hotel,0,26/02/2018,10/04/2019,907507
 16825,16825,16825,suite vivienda universitaria,1,17/08/2019,07/07/2018,2535779
 16826,16826,16826,suite hotel,1,26/12/2018,03/02/2018,1807943
 16827,16827,16827,habitación vivienda universitaria,0,23/08/2019,14/11/2018,2473934
 16828,16828,16828,habitación vivienda ,0,16/03/2019,26/04/2019,774370
 16829,16829,16829,habitación vivienda ,0,19/02/2018,17/04/2019,1049500
 16830,16830,16830,habitación vivienda universitaria,1,17/01/2020,02/03/2019,1622581
 16831,16831,16831,habitación vivienda ,0,21/04/2019,21/04/2019,2179034
 16832,16832,16832,suite vivienda universitaria,0,06/01/2020,07/06/2018,2462906
 16833,16833,16833,habitación vivienda universitaria,0,27/04/2020,07/04/2019,1714152
 16834,16834,16834,habitación vivienda universitaria,1,02/01/2018,29/12/2018,2140601
 16835,16835,16835,habitación vivienda ,0,03/07/2019,08/03/2020,2405682
 16836,16836,16836,habitación vivienda ,0,21/07/2018,16/01/2020,1718457
 16837,16837,16837,habitación hotel,1,05/08/2018,11/04/2020,3660040
 16838,16838,16838,habitación vivienda universitaria,1,10/07/2019,10/01/2018,3437781
 16839,16839,16839,suite vivienda universitaria,1,12/05/2020,07/01/2018,2916348
 16840,16840,16840,suite hotel,0,19/11/2019,03/07/2019,1564800
 16841,16841,16841,suite vivienda universitaria,0,14/12/2019,18/05/2019,1815221
 16842,16842,16842,habitación hostal,0,25/08/2019,06/02/2018,3344800
 16843,16843,16843,suite vivienda universitaria,1,31/01/2020,25/06/2018,3546524
 16844,16844,16844,habitación hotel,1,02/05/2019,28/11/2019,2079836
 16845,16845,16845,suite hotel,0,29/06/2019,06/02/2019,3228863
 16846,16846,16846,suite hotel,1,15/12/2019,03/05/2020,1422331
 16847,16847,16847,habitación vivienda universitaria,1,21/02/2020,24/09/2019,1109012
 16848,16848,16848,habitación hostal,0,01/07/2018,30/07/2019,3373283
 16849,16849,16849,suite hotel,0,22/09/2019,02/08/2019,881907
 16850,16850,16850,vivienda,0,23/02/2020,07/06/2019,3665858
 16851,16851,16851,vivienda,0,24/07/2019,10/06/2019,2185633
 16852,16852,16852,habitación hostal,1,25/01/2020,28/04/2020,1417096
 16853,16853,16853,vivienda,0,26/10/2018,13/10/2019,1624856
 16854,16854,16854,suite vivienda universitaria,0,09/01/2020,27/02/2018,1979018
 16855,16855,16855,habitación hostal,0,22/11/2019,03/06/2019,2006090
 16856,16856,16856,habitación vivienda ,1,11/03/2018,10/03/2018,2467749
 16857,16857,16857,habitación vivienda ,0,08/05/2018,18/01/2020,2718122
 16858,16858,16858,suite hotel,0,15/12/2018,14/04/2019,1050003
 16859,16859,16859,habitación hostal,0,24/05/2018,10/05/2019,444760
 16860,16860,16860,habitación hostal,1,19/01/2019,16/06/2018,3897505
 16861,16861,16861,suite vivienda universitaria,1,12/04/2020,31/03/2020,1035968
 16862,16862,16862,habitación hostal,0,03/09/2019,19/05/2020,494209
 16863,16863,16863,habitación hostal,0,17/01/2018,15/05/2019,1040744
 16864,16864,16864,habitación hostal,0,08/08/2018,31/07/2019,1468803
 16865,16865,16865,habitación vivienda universitaria,1,16/02/2018,19/03/2020,2691065
 16866,16866,16866,habitación hostal,0,07/09/2019,19/04/2018,3002231
 16867,16867,16867,habitación vivienda ,0,10/10/2019,05/06/2018,2145292
 16868,16868,16868,habitación vivienda ,1,08/02/2018,15/10/2019,1166218
 16869,16869,16869,habitación vivienda ,0,09/02/2018,05/04/2019,1870183
 16870,16870,16870,suite hotel,0,10/12/2019,02/02/2019,183099
 16871,16871,16871,habitación hostal,0,07/08/2018,03/01/2018,3619754
 16872,16872,16872,habitación hostal,0,09/06/2018,20/12/2018,2025846
 16873,16873,16873,habitación hotel,1,29/03/2018,07/09/2018,3788992
 16874,16874,16874,habitación hostal,0,10/09/2019,31/08/2019,2032168
 16875,16875,16875,suite hotel,0,27/01/2018,03/07/2018,460517
 16876,16876,16876,habitación hotel,0,15/01/2020,11/06/2019,2815423
 16877,16877,16877,suite hotel,0,30/09/2019,16/07/2018,2974529
 16878,16878,16878,habitación hostal,1,29/05/2019,26/01/2019,1943930
 16879,16879,16879,suite hotel,0,08/11/2018,03/02/2018,2960779
 16880,16880,16880,suite vivienda universitaria,0,03/08/2018,22/04/2020,2225629
 16881,16881,16881,suite vivienda universitaria,0,09/09/2019,07/09/2018,576392
 16882,16882,16882,vivienda,1,18/02/2020,09/08/2018,2727862
 16883,16883,16883,habitación hotel,1,03/01/2018,01/01/2020,507131
 16884,16884,16884,habitación hostal,1,01/09/2019,12/10/2019,2917767
 16885,16885,16885,habitación vivienda universitaria,0,31/01/2018,27/07/2018,1891334
 16886,16886,16886,suite vivienda universitaria,0,23/06/2019,02/11/2019,2326993
 16887,16887,16887,habitación vivienda ,1,05/04/2020,03/09/2018,1034500
 16888,16888,16888,suite vivienda universitaria,0,12/04/2020,14/05/2019,2029241
 16889,16889,16889,suite hotel,1,22/03/2019,15/02/2019,3321900
 16890,16890,16890,suite vivienda universitaria,0,02/05/2019,17/01/2020,3581518
 16891,16891,16891,suite vivienda universitaria,0,05/04/2019,23/11/2019,2405430
 16892,16892,16892,vivienda,1,13/01/2018,20/11/2019,844625
 16893,16893,16893,habitación hotel,1,27/12/2018,16/01/2018,1370846
 16894,16894,16894,habitación vivienda universitaria,1,30/03/2018,15/05/2019,3769080
 16895,16895,16895,vivienda,1,11/01/2020,04/11/2019,273409
 16896,16896,16896,habitación vivienda universitaria,1,02/02/2019,03/02/2020,1549980
 16897,16897,16897,habitación vivienda universitaria,1,03/05/2019,28/05/2019,1673023
 16898,16898,16898,habitación hostal,0,12/12/2018,19/03/2019,1569648
 16899,16899,16899,vivienda,0,23/01/2019,14/03/2020,3413434
 16900,16900,16900,vivienda,0,05/03/2020,11/11/2018,3814819
 16901,16901,16901,habitación vivienda universitaria,0,19/02/2018,16/03/2020,135519
 16902,16902,16902,suite hotel,1,02/06/2018,28/02/2020,700889
 16903,16903,16903,habitación vivienda universitaria,1,28/12/2018,18/03/2020,2717852
 16904,16904,16904,habitación hotel,0,09/10/2019,02/04/2018,1770196
 16905,16905,16905,habitación vivienda ,1,31/05/2019,02/09/2018,1180634
 16906,16906,16906,vivienda,1,18/10/2019,30/05/2018,1615616
 16907,16907,16907,vivienda,0,04/06/2019,22/04/2019,2090747
 16908,16908,16908,habitación hotel,1,07/07/2018,03/03/2020,2378814
 16909,16909,16909,suite hotel,0,02/02/2018,19/07/2018,858912
 16910,16910,16910,habitación hotel,1,17/02/2018,10/08/2018,1225503
 16911,16911,16911,habitación vivienda universitaria,1,21/01/2019,25/09/2018,3980440
 16912,16912,16912,vivienda,0,20/04/2020,23/01/2018,341474
 16913,16913,16913,habitación vivienda universitaria,1,28/06/2019,08/08/2019,172577
 16914,16914,16914,habitación vivienda ,0,14/02/2019,14/07/2018,3391781
 16915,16915,16915,habitación vivienda universitaria,0,05/03/2018,25/02/2020,1270815
 16916,16916,16916,habitación hotel,0,29/08/2018,27/02/2019,3413167
 16917,16917,16917,vivienda,1,03/09/2019,14/03/2018,2838129
 16918,16918,16918,vivienda,1,25/11/2019,15/12/2018,947762
 16919,16919,16919,habitación vivienda ,0,26/03/2020,02/03/2019,1253405
 16920,16920,16920,habitación hostal,1,13/10/2019,26/08/2019,349642
 16921,16921,16921,vivienda,1,27/08/2019,27/04/2019,2983212
 16922,16922,16922,habitación vivienda universitaria,1,11/07/2018,15/07/2019,971356
 16923,16923,16923,vivienda,1,30/06/2018,29/11/2019,2398553
 16924,16924,16924,habitación hotel,0,22/04/2018,25/07/2019,3294088
 16925,16925,16925,suite hotel,0,07/04/2019,22/09/2018,2233611
 16926,16926,16926,habitación vivienda universitaria,1,09/10/2019,05/11/2019,1424116
 16927,16927,16927,vivienda,0,16/05/2019,08/02/2018,1548151
 16928,16928,16928,habitación hotel,0,22/08/2018,20/09/2018,2292262
 16929,16929,16929,suite vivienda universitaria,0,11/05/2018,20/09/2019,2001452
 16930,16930,16930,habitación vivienda ,0,17/03/2019,12/11/2018,3800478
 16931,16931,16931,suite hotel,1,05/08/2019,14/11/2019,1830673
 16932,16932,16932,habitación hostal,0,16/06/2019,23/05/2020,2107858
 16933,16933,16933,habitación vivienda ,0,25/09/2019,07/03/2018,877610
 16934,16934,16934,habitación vivienda universitaria,1,12/09/2018,21/02/2020,3811346
 16935,16935,16935,suite hotel,0,10/06/2019,13/04/2018,3763988
 16936,16936,16936,habitación hostal,0,22/12/2019,14/02/2019,3297770
 16937,16937,16937,habitación hotel,1,12/01/2019,02/03/2019,1956441
 16938,16938,16938,habitación vivienda ,0,26/03/2019,15/07/2018,316254
 16939,16939,16939,habitación vivienda universitaria,1,13/06/2019,07/01/2020,2810759
 16940,16940,16940,habitación vivienda universitaria,0,04/09/2019,12/09/2018,125164
 16941,16941,16941,habitación hostal,1,23/11/2018,15/01/2020,2542668
 16942,16942,16942,habitación hostal,1,01/02/2018,04/10/2018,2661240
 16943,16943,16943,suite hotel,1,26/05/2019,29/06/2018,3274722
 16944,16944,16944,suite hotel,1,30/11/2018,22/11/2018,1410826
 16945,16945,16945,habitación vivienda universitaria,0,28/10/2018,04/04/2020,1653337
 16946,16946,16946,habitación vivienda universitaria,0,27/04/2018,17/06/2018,3232830
 16947,16947,16947,suite hotel,1,08/06/2018,19/10/2019,120814
 16948,16948,16948,vivienda,0,13/12/2019,20/09/2018,336460
 16949,16949,16949,habitación vivienda ,1,29/01/2020,14/08/2019,1050035
 16950,16950,16950,suite hotel,0,11/09/2019,02/07/2019,2905044
 16951,16951,16951,habitación hostal,1,13/02/2019,19/04/2018,3151178
 16952,16952,16952,suite vivienda universitaria,1,21/06/2019,28/05/2018,1297543
 16953,16953,16953,suite hotel,0,28/03/2019,25/03/2020,145919
 16954,16954,16954,habitación hostal,1,31/05/2018,25/01/2018,3193810
 16955,16955,16955,habitación vivienda ,1,13/09/2018,22/07/2018,3845759
 16956,16956,16956,suite hotel,1,22/09/2019,27/01/2020,3666871
 16957,16957,16957,habitación vivienda universitaria,1,10/07/2019,21/03/2018,634897
 16958,16958,16958,habitación hostal,0,26/01/2018,29/08/2018,1138616
 16959,16959,16959,suite hotel,1,20/01/2020,13/03/2020,2274259
 16960,16960,16960,habitación vivienda universitaria,0,28/05/2018,27/03/2020,140273
 16961,16961,16961,suite vivienda universitaria,0,05/05/2019,24/01/2019,2244026
 16962,16962,16962,habitación vivienda ,1,13/03/2018,20/11/2018,2163171
 16963,16963,16963,habitación hotel,1,26/08/2018,30/03/2018,3910558
 16964,16964,16964,habitación hostal,0,21/11/2018,12/04/2018,1595502
 16965,16965,16965,habitación vivienda universitaria,1,19/09/2019,30/05/2019,1353532
 16966,16966,16966,suite vivienda universitaria,0,23/08/2019,09/04/2020,647948
 16967,16967,16967,habitación vivienda universitaria,0,24/01/2020,03/11/2018,1578492
 16968,16968,16968,habitación vivienda universitaria,0,24/11/2018,12/04/2020,2807612
 16969,16969,16969,vivienda,1,19/04/2018,21/03/2020,610000
 16970,16970,16970,vivienda,0,29/05/2019,22/05/2020,3405956
 16971,16971,16971,suite hotel,1,04/07/2019,24/02/2019,291480
 16972,16972,16972,habitación vivienda ,1,29/08/2019,03/03/2019,758491
 16973,16973,16973,habitación vivienda universitaria,0,16/08/2018,13/06/2019,3326245
 16974,16974,16974,habitación vivienda ,1,22/02/2020,02/01/2019,3493180
 16975,16975,16975,habitación vivienda ,0,18/11/2018,02/08/2019,2208755
 16976,16976,16976,suite vivienda universitaria,1,08/08/2019,25/12/2018,3254553
 16977,16977,16977,habitación vivienda ,1,05/01/2020,06/12/2019,3936314
 16978,16978,16978,suite hotel,1,18/04/2018,12/02/2019,254486
 16979,16979,16979,habitación hostal,0,03/10/2018,29/05/2019,1560131
 16980,16980,16980,habitación vivienda universitaria,0,02/12/2018,27/11/2018,1609038
 16981,16981,16981,habitación hostal,0,09/03/2018,03/09/2019,3367550
 16982,16982,16982,suite hotel,1,07/07/2019,14/08/2018,712027
 16983,16983,16983,vivienda,1,11/03/2020,18/01/2020,2173015
 16984,16984,16984,habitación hotel,1,15/01/2019,03/07/2019,981385
 16985,16985,16985,habitación vivienda universitaria,0,16/06/2019,16/03/2020,3391474
 16986,16986,16986,suite hotel,0,08/08/2018,28/09/2019,1811147
 16987,16987,16987,suite vivienda universitaria,1,15/04/2020,16/09/2018,1966264
 16988,16988,16988,vivienda,1,13/12/2019,27/05/2018,1748652
 16989,16989,16989,suite vivienda universitaria,0,10/05/2018,24/02/2018,3294602
 16990,16990,16990,vivienda,0,14/09/2018,29/09/2018,3430444
 16991,16991,16991,suite vivienda universitaria,0,29/05/2018,24/04/2018,700386
 16992,16992,16992,habitación hotel,0,28/03/2020,27/07/2018,2166833
 16993,16993,16993,habitación hotel,1,23/05/2018,14/08/2018,3957613
 16994,16994,16994,habitación vivienda ,0,07/02/2019,09/10/2019,1526877
 16995,16995,16995,habitación hotel,1,19/09/2018,08/01/2019,1019065
 16996,16996,16996,habitación hostal,1,07/07/2018,07/10/2019,2549702
 16997,16997,16997,habitación hostal,0,25/02/2020,24/02/2019,1046535
 16998,16998,16998,suite hotel,1,15/09/2018,16/07/2018,3754932
 16999,16999,16999,habitación vivienda universitaria,0,01/02/2019,25/05/2019,3989181
 17000,17000,17000,habitación hostal,1,10/10/2019,21/11/2019,464293
 17001,17001,17001,suite vivienda universitaria,0,13/02/2020,04/02/2019,3153315
 17002,17002,17002,habitación vivienda universitaria,1,29/06/2019,13/03/2018,1879057
 17003,17003,17003,suite vivienda universitaria,0,12/11/2019,07/01/2018,566839
 17004,17004,17004,habitación vivienda ,0,04/01/2020,18/04/2018,187982
 17005,17005,17005,habitación vivienda ,0,14/10/2019,02/06/2018,3322840
 17006,17006,17006,suite hotel,0,26/03/2018,27/05/2018,2983058
 17007,17007,17007,suite hotel,1,05/12/2019,16/12/2018,1878303
 17008,17008,17008,habitación hotel,0,05/01/2020,28/06/2019,2330664
 17009,17009,17009,suite vivienda universitaria,1,18/07/2018,31/10/2018,3709976
 17010,17010,17010,habitación vivienda universitaria,1,16/12/2019,22/01/2018,3247643
 17011,17011,17011,suite hotel,0,31/01/2018,28/09/2018,3846036
 17012,17012,17012,habitación hotel,0,11/05/2018,25/05/2018,940177
 17013,17013,17013,suite vivienda universitaria,1,06/06/2018,03/03/2018,723977
 17014,17014,17014,habitación hostal,1,23/07/2019,18/03/2019,2436366
 17015,17015,17015,habitación hostal,1,17/10/2019,10/03/2020,2594539
 17016,17016,17016,habitación hostal,1,19/10/2018,08/03/2020,1044410
 17017,17017,17017,habitación hostal,1,15/09/2019,06/04/2018,1087113
 17018,17018,17018,vivienda,1,05/01/2020,21/03/2019,1064206
 17019,17019,17019,suite hotel,1,20/08/2018,06/06/2018,3088134
 17020,17020,17020,suite hotel,1,10/10/2018,16/06/2019,900232
 17021,17021,17021,habitación hotel,1,15/08/2018,10/12/2018,203968
 17022,17022,17022,habitación vivienda ,0,15/11/2019,22/12/2019,2913883
 17023,17023,17023,suite hotel,1,22/11/2018,31/12/2018,1828076
 17024,17024,17024,suite vivienda universitaria,1,05/02/2018,01/05/2018,1276963
 17025,17025,17025,vivienda,0,02/05/2019,18/04/2020,2464227
 17026,17026,17026,suite vivienda universitaria,1,01/02/2019,20/04/2020,145382
 17027,17027,17027,habitación vivienda universitaria,0,08/05/2018,14/08/2019,3240184
 17028,17028,17028,habitación vivienda ,1,15/12/2018,12/09/2018,3131241
 17029,17029,17029,habitación vivienda universitaria,1,01/05/2019,17/02/2020,1594996
 17030,17030,17030,suite vivienda universitaria,1,24/10/2019,10/02/2020,3950804
 17031,17031,17031,vivienda,1,30/11/2019,08/10/2018,2283592
 17032,17032,17032,habitación vivienda ,1,16/02/2020,06/08/2018,3344966
 17033,17033,17033,habitación hostal,1,17/06/2019,01/05/2019,2885722
 17034,17034,17034,vivienda,1,17/02/2018,03/11/2019,2938150
 17035,17035,17035,habitación vivienda ,0,23/09/2018,24/10/2018,2195306
 17036,17036,17036,habitación hostal,0,21/02/2019,10/08/2018,950230
 17037,17037,17037,habitación vivienda ,1,23/03/2018,06/08/2018,3415897
 17038,17038,17038,habitación vivienda universitaria,1,17/06/2019,29/09/2018,2916150
 17039,17039,17039,habitación hostal,1,10/03/2019,05/02/2020,1074697
 17040,17040,17040,habitación vivienda ,0,10/01/2018,23/01/2020,2888872
 17041,17041,17041,vivienda,0,07/10/2018,02/04/2018,1940500
 17042,17042,17042,habitación hotel,1,04/09/2018,05/03/2020,1418364
 17043,17043,17043,vivienda,0,21/10/2019,16/05/2020,3652387
 17044,17044,17044,suite vivienda universitaria,1,30/11/2019,25/06/2018,3894379
 17045,17045,17045,suite hotel,1,16/07/2018,22/02/2020,3652546
 17046,17046,17046,suite hotel,0,18/09/2019,28/08/2018,2661763
 17047,17047,17047,habitación vivienda universitaria,0,05/07/2018,28/02/2019,2326759
 17048,17048,17048,habitación vivienda universitaria,0,20/02/2018,03/05/2018,1337086
 17049,17049,17049,habitación vivienda universitaria,1,25/08/2019,28/09/2019,3882383
 17050,17050,17050,suite vivienda universitaria,0,11/09/2019,12/12/2019,2159506
 17051,17051,17051,suite hotel,0,14/06/2019,28/07/2019,836963
 17052,17052,17052,habitación hostal,1,17/07/2019,04/06/2019,2393464
 17053,17053,17053,suite hotel,1,19/09/2018,07/05/2020,954710
 17054,17054,17054,suite hotel,1,09/10/2019,21/06/2018,2321111
 17055,17055,17055,habitación hostal,1,03/05/2020,29/01/2018,3064782
 17056,17056,17056,habitación vivienda universitaria,1,14/02/2019,14/07/2019,1106903
 17057,17057,17057,habitación vivienda ,1,14/04/2018,03/04/2018,1059305
 17058,17058,17058,habitación hotel,1,24/10/2019,13/02/2020,2815426
 17059,17059,17059,habitación vivienda universitaria,1,24/02/2020,12/01/2020,598672
 17060,17060,17060,habitación hostal,1,25/12/2019,28/06/2018,317710
 17061,17061,17061,habitación hotel,0,14/09/2019,14/06/2018,3934143
 17062,17062,17062,habitación hotel,0,28/06/2019,09/09/2019,374134
 17063,17063,17063,suite vivienda universitaria,1,15/12/2018,10/08/2019,2344870
 17064,17064,17064,habitación vivienda universitaria,1,13/01/2018,10/08/2019,2159904
 17065,17065,17065,suite vivienda universitaria,0,20/01/2019,25/12/2019,1302768
 17066,17066,17066,suite hotel,0,27/02/2019,23/02/2018,3558767
 17067,17067,17067,habitación vivienda universitaria,1,03/05/2020,19/06/2019,968308
 17068,17068,17068,vivienda,0,16/12/2018,20/05/2018,2458177
 17069,17069,17069,suite vivienda universitaria,1,13/04/2020,09/07/2018,314824
 17070,17070,17070,vivienda,1,27/08/2018,08/06/2018,3725843
 17071,17071,17071,suite vivienda universitaria,1,11/06/2019,29/06/2019,3635692
 17072,17072,17072,suite vivienda universitaria,0,01/01/2018,19/11/2019,3747587
 17073,17073,17073,suite vivienda universitaria,1,05/09/2019,17/09/2018,2787160
 17074,17074,17074,suite vivienda universitaria,0,03/06/2018,31/07/2019,1463529
 17075,17075,17075,suite hotel,1,15/11/2018,29/08/2018,3895511
 17076,17076,17076,habitación vivienda ,1,01/09/2019,04/10/2019,437634
 17077,17077,17077,vivienda,0,07/01/2020,22/02/2018,2615375
 17078,17078,17078,habitación hostal,0,20/09/2018,29/03/2020,3072945
 17079,17079,17079,suite hotel,0,05/10/2018,08/07/2018,1722711
 17080,17080,17080,habitación vivienda universitaria,0,27/03/2018,22/04/2020,1121991
