ID,TIPO,NOMBRE
11821,Miembro comunidad,Hilton
11822,vecino,SisTrans
11823,Miembro comunidad,Hilton
11824,vecino,Avianca
11825,Hostal,SisTrans
11826,Miembro comunidad,Panamericana
11827,Hotel,Panamericana
11828,Hostal,El Mono
11829,Miembro comunidad,SisTrans
11830,Miembro comunidad,SisTrans
11831,Empreza vivienda univercitaria,El sol
11832,Miembro comunidad,Unal
11833,Hotel,SisTrans
11834,Miembro comunidad,SisTrans
11835,vecino,Livin
11836,Miembro comunidad,SisTrans
11837,vecino,Livin
11838,vecino,City U 
11839,Miembro comunidad,El sol
11840,Miembro comunidad,Unal
11841,Hostal,Panamericana
11842,Hotel,Panamericana
11843,Hostal,Uni
11844,Hostal,Uni
11845,Hostal,City U 
11846,Miembro comunidad,El Mono
11847,Hostal,Operaciones b
11848,Hostal,Unal
11849,Miembro comunidad,Unal
11850,Miembro comunidad,Tostao
11851,Miembro comunidad,Operaciones b
11852,Hotel,El sol
11853,Miembro comunidad,SeneK
11854,Hotel,Hilton
11855,vecino,SeneK
11856,Miembro comunidad,Avianca
11857,Empreza vivienda univercitaria,Unal
11858,Empreza vivienda univercitaria,Uni
11859,Hotel,Livin
11860,Empreza vivienda univercitaria,SeneK
11861,Miembro comunidad,Unal
11862,Hotel,El sol
11863,Hostal,SisTrans
11864,Miembro comunidad,Uni
11865,vecino,El sol
11866,vecino,El Mono
11867,Hotel,Unal
11868,vecino,Livin
11869,Miembro comunidad,SisTrans
11870,Empreza vivienda univercitaria,Operaciones b
11871,Hostal,SisTrans
11872,Empreza vivienda univercitaria,Avianca
11873,Hostal,Livin
11874,vecino,City U 
11875,vecino,Panamericana
11876,vecino,Panamericana
11877,vecino,Unal
11878,Hostal,El Mono
11879,Empreza vivienda univercitaria,Hilton
11880,Hostal,SisTrans
11881,Hotel,Avianca
11882,Hotel,SisTrans
11883,Hostal,SeneK
11884,vecino,SisTrans
11885,Hostal,El sol
11886,vecino,City U 
11887,vecino,Livin
11888,Hotel,SeneK
11889,Hostal,El sol
11890,vecino,El Mono
11891,Empreza vivienda univercitaria,SisTrans
11892,Hostal,Unal
11893,Hotel,SisTrans
11894,Hostal,SisTrans
11895,Empreza vivienda univercitaria,Panamericana
11896,Empreza vivienda univercitaria,El sol
11897,vecino,Hilton
11898,Hostal,City U 
11899,Hotel,Avianca
11900,Hostal,Operaciones b
11901,vecino,El sol
11902,Hostal,El sol
11903,Miembro comunidad,Hilton
11904,Empreza vivienda univercitaria,Livin
11905,Empreza vivienda univercitaria,City U 
11906,Hostal,Operaciones b
11907,Empreza vivienda univercitaria,El sol
11908,Hostal,SisTrans
11909,Empreza vivienda univercitaria,SeneK
11910,vecino,Panamericana
11911,Hotel,Livin
11912,Hotel,Livin
11913,Miembro comunidad,Uni
11914,vecino,Unal
11915,Miembro comunidad,Panamericana
11916,Hotel,Operaciones b
11917,Hostal,Livin
11918,Hostal,SeneK
11919,Miembro comunidad,Tostao
11920,Hotel,Panamericana
11921,Miembro comunidad,Uni
11922,Hostal,El sol
11923,Empreza vivienda univercitaria,Tostao
11924,Miembro comunidad,Tostao
11925,Hostal,Unal
11926,Hotel,SeneK
11927,Hostal,El Mono
11928,vecino,El sol
11929,Empreza vivienda univercitaria,Uni
11930,Miembro comunidad,Hilton
11931,Hotel,City U 
11932,Hotel,Unal
11933,vecino,Operaciones b
11934,vecino,Panamericana
11935,Empreza vivienda univercitaria,Livin
11936,Empreza vivienda univercitaria,City U 
11937,Hotel,Unal
11938,Hostal,El sol
11939,Empreza vivienda univercitaria,Tostao
11940,Hotel,Operaciones b
11941,vecino,SisTrans
11942,Hotel,Avianca
11943,Hotel,City U 
11944,Empreza vivienda univercitaria,SeneK
11945,Miembro comunidad,El sol
11946,Hotel,SeneK
11947,Miembro comunidad,El sol
11948,Hostal,SeneK
11949,Hostal,Panamericana
11950,Hotel,Uni
11951,Hostal,Uni
11952,Miembro comunidad,SeneK
11953,vecino,Panamericana
11954,vecino,Panamericana
11955,Hostal,Livin
11956,Hotel,El sol
11957,Hostal,Livin
11958,vecino,Avianca
11959,vecino,Avianca
11960,Hostal,SisTrans
11961,Empreza vivienda univercitaria,El Mono
11962,Empreza vivienda univercitaria,El Mono
11963,vecino,Unal
11964,Hostal,Hilton
11965,Miembro comunidad,Uni
11966,Hotel,Unal
11967,Empreza vivienda univercitaria,El sol
11968,Empreza vivienda univercitaria,Uni
11969,Empreza vivienda univercitaria,Tostao
11970,Empreza vivienda univercitaria,Uni
11971,Empreza vivienda univercitaria,El sol
11972,Hotel,Hilton
11973,Hostal,SeneK
11974,Empreza vivienda univercitaria,Hilton
11975,Empreza vivienda univercitaria,El sol
11976,Hostal,Uni
11977,Miembro comunidad,Unal
11978,Miembro comunidad,Operaciones b
11979,Empreza vivienda univercitaria,SeneK
11980,vecino,El sol
11981,vecino,SisTrans
11982,Hotel,El sol
11983,vecino,El sol
11984,Hostal,Hilton
11985,Empreza vivienda univercitaria,Livin
11986,Hotel,Uni
11987,vecino,Unal
11988,Hostal,El sol
11989,Empreza vivienda univercitaria,Panamericana
11990,Hostal,Unal
11991,vecino,Operaciones b
11992,Hostal,SisTrans
11993,vecino,Panamericana
11994,vecino,El Mono
11995,Miembro comunidad,SeneK
11996,Hostal,Avianca
11997,Miembro comunidad,El Mono
11998,Empreza vivienda univercitaria,Operaciones b
11999,vecino,El sol
12000,Hostal,SeneK
12001,Empreza vivienda univercitaria,Livin
12002,Hostal,Livin
12003,Miembro comunidad,Uni
12004,Hotel,City U 
12005,Empreza vivienda univercitaria,Uni
12006,Hostal,Panamericana
12007,Hostal,El sol
12008,Empreza vivienda univercitaria,SeneK
12009,Hostal,Tostao
12010,Miembro comunidad,Panamericana
12011,Hostal,Operaciones b
12012,vecino,SisTrans
12013,Hotel,Uni
12014,Hotel,SeneK
12015,Hostal,El Mono
12016,Empreza vivienda univercitaria,SeneK
12017,vecino,Hilton
12018,Hotel,El Mono
12019,Hotel,Hilton
12020,Hotel,Uni
12021,Hostal,Uni
12022,vecino,Avianca
12023,Hotel,Livin
12024,Miembro comunidad,Panamericana
12025,vecino,Uni
12026,Hotel,Livin
12027,vecino,El Mono
12028,Hostal,Operaciones b
12029,vecino,Panamericana
12030,Empreza vivienda univercitaria,Hilton
12031,Empreza vivienda univercitaria,El sol
12032,Empreza vivienda univercitaria,Livin
12033,vecino,Unal
12034,vecino,SisTrans
12035,Hotel,Livin
12036,Empreza vivienda univercitaria,Unal
12037,Empreza vivienda univercitaria,Avianca
12038,Hotel,Operaciones b
12039,Hotel,Unal
12040,vecino,SeneK
12041,Hostal,El Mono
12042,Empreza vivienda univercitaria,SisTrans
12043,Hostal,Tostao
12044,Hotel,SeneK
12045,vecino,El Mono
12046,Empreza vivienda univercitaria,Panamericana
12047,Hostal,Operaciones b
12048,Empreza vivienda univercitaria,SeneK
12049,Empreza vivienda univercitaria,El Mono
12050,vecino,SisTrans
12051,Hotel,Avianca
12052,Hotel,Unal
12053,Hotel,Operaciones b
12054,Hotel,SeneK
12055,Miembro comunidad,Unal
12056,Hostal,Tostao
12057,Hotel,Livin
12058,Hostal,SisTrans
12059,vecino,City U 
12060,Hostal,Unal
12061,vecino,Avianca
12062,Hostal,Hilton
12063,Empreza vivienda univercitaria,Hilton
12064,vecino,Hilton
12065,vecino,Livin
12066,Hotel,Tostao
12067,Hotel,SeneK
12068,vecino,SisTrans
12069,Empreza vivienda univercitaria,Panamericana
12070,vecino,Livin
12071,vecino,Avianca
12072,Miembro comunidad,Panamericana
12073,vecino,Avianca
12074,Miembro comunidad,El sol
12075,Hotel,Hilton
12076,Hostal,El Mono
12077,Miembro comunidad,City U 
12078,Hostal,SeneK
12079,Miembro comunidad,Uni
12080,vecino,Uni
12081,Hotel,Unal
12082,Hostal,El sol
12083,Hotel,Unal
12084,Hotel,Uni
12085,vecino,Panamericana
12086,Miembro comunidad,Tostao
12087,vecino,Operaciones b
12088,Hotel,Hilton
12089,Empreza vivienda univercitaria,Tostao
12090,Hostal,El Mono
12091,Miembro comunidad,SeneK
12092,Miembro comunidad,SeneK
12093,Miembro comunidad,City U 
12094,Miembro comunidad,City U 
12095,Hotel,Panamericana
12096,vecino,Unal
12097,Hotel,Tostao
12098,Miembro comunidad,Operaciones b
12099,Hostal,El sol
12100,vecino,SeneK
12101,Miembro comunidad,Panamericana
12102,vecino,SisTrans
12103,vecino,Unal
12104,Hotel,Hilton
12105,Empreza vivienda univercitaria,Hilton
12106,vecino,Livin
12107,Empreza vivienda univercitaria,City U 
12108,Hotel,El sol
12109,Miembro comunidad,City U 
12110,Hostal,Tostao
12111,Empreza vivienda univercitaria,Avianca
12112,Hotel,SeneK
12113,vecino,Unal
12114,Hotel,Hilton
12115,Empreza vivienda univercitaria,Tostao
12116,Hostal,Panamericana
12117,Miembro comunidad,El sol
12118,Miembro comunidad,SeneK
12119,Hostal,Hilton
12120,vecino,Avianca
12121,Hostal,Operaciones b
12122,Hostal,Hilton
12123,Hotel,El Mono
12124,Hotel,Livin
12125,Empreza vivienda univercitaria,Uni
12126,Empreza vivienda univercitaria,Avianca
12127,vecino,City U 
12128,Empreza vivienda univercitaria,El sol
12129,vecino,Unal
12130,Hotel,Uni
12131,Hotel,Tostao
12132,Hotel,Uni
12133,Hotel,Unal
12134,Miembro comunidad,Avianca
12135,Miembro comunidad,El Mono
12136,Empreza vivienda univercitaria,El sol
12137,Miembro comunidad,City U 
12138,Empreza vivienda univercitaria,Uni
12139,Empreza vivienda univercitaria,Operaciones b
12140,Hotel,Panamericana
12141,Miembro comunidad,Panamericana
12142,Miembro comunidad,SeneK
12143,Miembro comunidad,SisTrans
12144,Miembro comunidad,SisTrans
12145,vecino,El sol
12146,Hotel,Unal
12147,Hostal,Operaciones b
12148,Hotel,Operaciones b
12149,Hotel,Panamericana
12150,Empreza vivienda univercitaria,Operaciones b
12151,Hostal,SisTrans
12152,vecino,City U 
12153,vecino,El sol
12154,Hotel,Panamericana
12155,Miembro comunidad,SeneK
12156,Empreza vivienda univercitaria,El Mono
12157,Miembro comunidad,SeneK
12158,vecino,Hilton
12159,Empreza vivienda univercitaria,Hilton
12160,Hostal,Operaciones b
12161,Empreza vivienda univercitaria,Hilton
12162,Empreza vivienda univercitaria,El Mono
12163,Hotel,Avianca
12164,Hotel,Uni
12165,Hotel,Uni
12166,Miembro comunidad,Livin
12167,Hotel,El Mono
12168,Miembro comunidad,El sol
12169,Miembro comunidad,Unal
12170,Hotel,El sol
12171,vecino,Tostao
12172,Hostal,Tostao
12173,Hostal,Tostao
12174,vecino,El Mono
12175,Empreza vivienda univercitaria,Uni
12176,Hotel,City U 
12177,Hostal,SeneK
12178,Miembro comunidad,Livin
12179,vecino,Panamericana
12180,Hostal,Avianca
12181,Hotel,Operaciones b
12182,vecino,Unal
12183,vecino,El Mono
12184,Hostal,Livin
12185,Hotel,City U 
12186,Hostal,Livin
12187,vecino,Uni
12188,Hostal,SisTrans
12189,Hotel,City U 
12190,Hotel,Operaciones b
12191,Hostal,Livin
12192,Miembro comunidad,El sol
12193,Empreza vivienda univercitaria,Livin
12194,Hotel,Operaciones b
12195,Empreza vivienda univercitaria,Uni
12196,vecino,Panamericana
12197,vecino,SisTrans
12198,Empreza vivienda univercitaria,Uni
12199,vecino,SisTrans
12200,vecino,Uni
12201,Hostal,El Mono
12202,Empreza vivienda univercitaria,Operaciones b
12203,Hostal,Avianca
12204,Hotel,Avianca
12205,Miembro comunidad,Unal
12206,Hotel,Uni
12207,vecino,SisTrans
12208,Miembro comunidad,Avianca
12209,Empreza vivienda univercitaria,SeneK
12210,Miembro comunidad,Panamericana
12211,Miembro comunidad,Panamericana
12212,Empreza vivienda univercitaria,Operaciones b
12213,Miembro comunidad,Hilton
12214,Miembro comunidad,Tostao
12215,Hotel,SeneK
12216,Hostal,SeneK
12217,Empreza vivienda univercitaria,Tostao
12218,Hostal,Tostao
12219,Hotel,Avianca
12220,Empreza vivienda univercitaria,SisTrans
12221,vecino,SisTrans
12222,vecino,Livin
12223,Hostal,Unal
12224,Hotel,Uni
12225,Hostal,Avianca
12226,vecino,El sol
12227,Miembro comunidad,Unal
12228,vecino,Unal
12229,Hostal,SeneK
12230,Hostal,City U 
12231,Hotel,Livin
12232,Empreza vivienda univercitaria,City U 
12233,Empreza vivienda univercitaria,Livin
12234,vecino,El Mono
12235,Hostal,SeneK
12236,vecino,Tostao
12237,vecino,SisTrans
12238,vecino,Livin
12239,vecino,El Mono
12240,Empreza vivienda univercitaria,Uni
12241,Miembro comunidad,SisTrans
12242,vecino,Panamericana
12243,Miembro comunidad,Unal
12244,Hostal,Tostao
12245,Hostal,Unal
12246,Hostal,City U 
12247,Hostal,El sol
12248,Empreza vivienda univercitaria,Operaciones b
12249,Hotel,City U 
12250,Miembro comunidad,Hilton
12251,Miembro comunidad,Hilton
12252,vecino,Avianca
12253,Hostal,City U 
12254,Miembro comunidad,SisTrans
12255,vecino,Avianca
12256,Hotel,Livin
12257,Hostal,Avianca
12258,vecino,SeneK
12259,Hostal,Uni
12260,vecino,Unal
12261,Hotel,El Mono
12262,Hostal,Operaciones b
12263,Empreza vivienda univercitaria,Livin
12264,Hotel,Panamericana
12265,Empreza vivienda univercitaria,SeneK
12266,vecino,Livin
12267,Hotel,El sol
12268,Hotel,Uni
12269,Empreza vivienda univercitaria,City U 
12270,Hostal,Operaciones b
12271,Hotel,Unal
12272,vecino,Avianca
12273,vecino,SeneK
12274,Hotel,Tostao
12275,Hotel,SeneK
12276,vecino,Tostao
12277,vecino,SisTrans
12278,Hostal,SeneK
12279,Miembro comunidad,Uni
12280,Hostal,Livin
12281,vecino,Operaciones b
12282,vecino,City U 
12283,Hostal,Uni
12284,Miembro comunidad,Tostao
12285,Hotel,City U 
12286,vecino,El sol
12287,Hotel,SisTrans
12288,Hostal,Panamericana
12289,Empreza vivienda univercitaria,Panamericana
12290,Empreza vivienda univercitaria,SisTrans
12291,Hotel,SeneK
12292,Empreza vivienda univercitaria,Panamericana
12293,Hostal,El Mono
12294,Hotel,SeneK
12295,Empreza vivienda univercitaria,Tostao
12296,Hostal,Tostao
12297,Miembro comunidad,Operaciones b
12298,Hotel,SeneK
12299,Hostal,Uni
12300,Empreza vivienda univercitaria,Operaciones b
12301,Hotel,El Mono
12302,Miembro comunidad,El Mono
12303,vecino,City U 
12304,Empreza vivienda univercitaria,Livin
12305,Empreza vivienda univercitaria,Tostao
12306,Empreza vivienda univercitaria,El sol
12307,Hostal,Panamericana
12308,Miembro comunidad,SeneK
12309,Miembro comunidad,Livin
12310,vecino,Operaciones b
12311,Empreza vivienda univercitaria,City U 
12312,Empreza vivienda univercitaria,Uni
12313,Miembro comunidad,SeneK
12314,vecino,City U 
12315,Miembro comunidad,Operaciones b
12316,Hotel,Livin
12317,Empreza vivienda univercitaria,Operaciones b
12318,Hotel,Avianca
12319,Miembro comunidad,Uni
12320,Empreza vivienda univercitaria,Panamericana
12321,vecino,Tostao
12322,Miembro comunidad,City U 
12323,Hotel,Hilton
12324,Miembro comunidad,City U 
12325,Empreza vivienda univercitaria,Avianca
12326,Hotel,Panamericana
12327,Hostal,Uni
12328,Hostal,SeneK
12329,Hotel,Livin
12330,Miembro comunidad,City U 
12331,vecino,El sol
12332,vecino,Panamericana
12333,Empreza vivienda univercitaria,SisTrans
12334,vecino,Avianca
12335,Hotel,SisTrans
12336,Miembro comunidad,El Mono
12337,vecino,Panamericana
12338,Empreza vivienda univercitaria,Operaciones b
12339,Hotel,Hilton
12340,Miembro comunidad,Hilton
12341,Hostal,Panamericana
12342,vecino,Avianca
12343,Empreza vivienda univercitaria,Unal
12344,Hostal,El sol
12345,vecino,City U 
12346,Hotel,SisTrans
12347,vecino,City U 
12348,vecino,Avianca
12349,Hotel,Unal
12350,Hotel,Panamericana
12351,Empreza vivienda univercitaria,Operaciones b
12352,Miembro comunidad,SeneK
12353,Empreza vivienda univercitaria,Operaciones b
12354,Empreza vivienda univercitaria,El Mono
12355,Hostal,SisTrans
12356,Empreza vivienda univercitaria,El sol
12357,vecino,SisTrans
12358,Hotel,Livin
12359,vecino,Livin
12360,vecino,SeneK
12361,Hostal,Livin
12362,vecino,Tostao
12363,Empreza vivienda univercitaria,Avianca
12364,Hostal,Unal
12365,Hotel,City U 
12366,vecino,El Mono
12367,Hotel,El sol
12368,Miembro comunidad,Operaciones b
12369,Hotel,El sol
12370,Miembro comunidad,SeneK
12371,vecino,El sol
12372,Hostal,SisTrans
12373,vecino,City U 
12374,Hotel,SeneK
12375,Hotel,City U 
12376,Miembro comunidad,Uni
12377,Hostal,Livin
12378,Miembro comunidad,Avianca
12379,Miembro comunidad,Panamericana
12380,Empreza vivienda univercitaria,Livin
12381,Empreza vivienda univercitaria,Panamericana
12382,Empreza vivienda univercitaria,Hilton
12383,Miembro comunidad,Uni
12384,Hostal,El sol
12385,Hotel,SisTrans
12386,Hostal,SisTrans
12387,vecino,City U 
12388,vecino,SisTrans
12389,Miembro comunidad,El sol
12390,vecino,SeneK
12391,Hotel,Panamericana
12392,vecino,City U 
12393,Miembro comunidad,Hilton
12394,Empreza vivienda univercitaria,El sol
12395,Empreza vivienda univercitaria,Uni
12396,Empreza vivienda univercitaria,El sol
12397,Empreza vivienda univercitaria,Operaciones b
12398,Empreza vivienda univercitaria,Panamericana
12399,Hotel,Hilton
12400,vecino,SeneK
12401,Hotel,Operaciones b
12402,Miembro comunidad,SeneK
12403,Hostal,SisTrans
12404,Hotel,El Mono
12405,Miembro comunidad,El Mono
12406,Miembro comunidad,Panamericana
12407,vecino,Operaciones b
12408,Hotel,Tostao
12409,Empreza vivienda univercitaria,SeneK
12410,Hotel,Operaciones b
12411,vecino,Panamericana
12412,Miembro comunidad,El Mono
12413,Hotel,Avianca
12414,vecino,El Mono
12415,Miembro comunidad,SisTrans
12416,Hotel,Uni
12417,Hostal,SeneK
12418,Miembro comunidad,Avianca
12419,Hostal,SeneK
12420,vecino,El Mono
12421,Hostal,Tostao
12422,Hostal,Avianca
12423,Empreza vivienda univercitaria,Hilton
12424,Miembro comunidad,City U 
12425,vecino,Avianca
12426,Hostal,Operaciones b
12427,Hostal,Unal
12428,Miembro comunidad,City U 
12429,Hotel,SeneK
12430,Hotel,SeneK
12431,Empreza vivienda univercitaria,SisTrans
12432,Miembro comunidad,Avianca
12433,Hostal,Hilton
12434,Hotel,Tostao
12435,Empreza vivienda univercitaria,Uni
12436,Empreza vivienda univercitaria,Panamericana
12437,Hotel,Panamericana
12438,Miembro comunidad,Unal
12439,Miembro comunidad,Operaciones b
12440,vecino,Uni
12441,Miembro comunidad,SeneK
12442,vecino,Livin
12443,Miembro comunidad,Uni
12444,Hotel,Uni
12445,Miembro comunidad,El Mono
12446,Miembro comunidad,City U 
12447,Empreza vivienda univercitaria,Livin
12448,Hotel,SeneK
12449,Empreza vivienda univercitaria,SeneK
12450,Empreza vivienda univercitaria,El sol
12451,Hotel,Panamericana
12452,vecino,Tostao
12453,Hostal,City U 
12454,Miembro comunidad,City U 
12455,Empreza vivienda univercitaria,City U 
12456,vecino,SisTrans
12457,Empreza vivienda univercitaria,Hilton
12458,Miembro comunidad,SeneK
12459,Hotel,Operaciones b
12460,Miembro comunidad,Uni
12461,Empreza vivienda univercitaria,City U 
12462,Empreza vivienda univercitaria,Avianca
12463,Miembro comunidad,Unal
12464,Miembro comunidad,SeneK
12465,Miembro comunidad,Panamericana
12466,Empreza vivienda univercitaria,Tostao
12467,vecino,SisTrans
12468,Hostal,El sol
12469,Hostal,Uni
12470,Miembro comunidad,Panamericana
12471,Miembro comunidad,City U 
12472,Hotel,SisTrans
12473,Hotel,City U 
12474,Hotel,El Mono
12475,Miembro comunidad,Panamericana
12476,Miembro comunidad,Livin
12477,Hotel,SisTrans
12478,vecino,Unal
12479,Hotel,SeneK
12480,Hotel,El Mono
12481,Hotel,SisTrans
12482,Miembro comunidad,El sol
12483,Hostal,SeneK
12484,Hotel,City U 
12485,vecino,Livin
12486,Hostal,Operaciones b
12487,vecino,Tostao
12488,Miembro comunidad,SeneK
12489,vecino,SisTrans
12490,vecino,El Mono
12491,Miembro comunidad,Uni
12492,Hotel,Unal
12493,Miembro comunidad,Hilton
12494,Miembro comunidad,Panamericana
12495,vecino,El sol
12496,Miembro comunidad,Unal
12497,Empreza vivienda univercitaria,El Mono
12498,Hotel,Uni
12499,Empreza vivienda univercitaria,Panamericana
12500,Hotel,Uni
12501,Hotel,Hilton
12502,Miembro comunidad,El Mono
12503,vecino,SisTrans
12504,Hostal,Hilton
12505,Miembro comunidad,City U 
12506,vecino,Hilton
12507,vecino,Panamericana
12508,Miembro comunidad,Uni
12509,Miembro comunidad,Panamericana
12510,Hostal,Operaciones b
12511,vecino,Uni
12512,Empreza vivienda univercitaria,Panamericana
12513,vecino,Uni
12514,Hostal,Hilton
12515,Empreza vivienda univercitaria,Unal
12516,vecino,Panamericana
12517,Empreza vivienda univercitaria,Unal
12518,Hotel,Hilton
12519,Hotel,Avianca
12520,vecino,Hilton
12521,Miembro comunidad,Avianca
12522,vecino,Tostao
12523,Miembro comunidad,Unal
12524,Hotel,SisTrans
12525,Empreza vivienda univercitaria,Uni
12526,Empreza vivienda univercitaria,SeneK
12527,Hotel,El Mono
12528,Empreza vivienda univercitaria,El Mono
12529,Hotel,Tostao
12530,Miembro comunidad,City U 
12531,vecino,City U 
12532,Miembro comunidad,Operaciones b
12533,Empreza vivienda univercitaria,SeneK
12534,Miembro comunidad,Uni
12535,Hotel,City U 
12536,vecino,El Mono
12537,vecino,SisTrans
12538,Empreza vivienda univercitaria,Tostao
12539,Hostal,Unal
12540,vecino,El sol
12541,Empreza vivienda univercitaria,El sol
12542,Hotel,Avianca
12543,Miembro comunidad,Uni
12544,Miembro comunidad,Livin
12545,vecino,Unal
12546,Hostal,Tostao
12547,Empreza vivienda univercitaria,El Mono
12548,Empreza vivienda univercitaria,Livin
12549,Hotel,Unal
12550,Hostal,Livin
12551,Miembro comunidad,Operaciones b
12552,Miembro comunidad,SisTrans
12553,vecino,Hilton
12554,Empreza vivienda univercitaria,El sol
12555,vecino,El sol
12556,Empreza vivienda univercitaria,SeneK
12557,Hotel,El Mono
12558,Hostal,SisTrans
12559,Hostal,Operaciones b
12560,Miembro comunidad,Livin
12561,Hotel,Panamericana
12562,Hotel,El sol
12563,Hotel,Operaciones b
12564,Hotel,Tostao
12565,Hotel,El sol
12566,Hotel,Avianca
12567,Hostal,Hilton
12568,Empreza vivienda univercitaria,Livin
12569,Hotel,El Mono
12570,Miembro comunidad,Uni
12571,Hostal,City U 
12572,vecino,Hilton
12573,Hostal,Hilton
12574,Empreza vivienda univercitaria,El sol
12575,Hotel,SeneK
12576,vecino,Uni
12577,Empreza vivienda univercitaria,El sol
12578,Hotel,Unal
12579,Empreza vivienda univercitaria,SisTrans
12580,Hotel,El sol
12581,Hotel,SisTrans
12582,Hostal,Avianca
12583,vecino,Panamericana
12584,Hostal,Hilton
12585,vecino,City U 
12586,vecino,City U 
12587,vecino,Hilton
12588,Hotel,Operaciones b
12589,vecino,Panamericana
12590,vecino,Tostao
12591,vecino,El sol
12592,Hotel,Uni
12593,vecino,SeneK
12594,Hotel,City U 
12595,Hostal,Tostao
12596,Hotel,Hilton
12597,Hotel,City U 
12598,vecino,Unal
12599,Hotel,SisTrans
12600,Hotel,Tostao
12601,Hotel,SeneK
12602,Hostal,SisTrans
12603,Hotel,Uni
12604,Hotel,SeneK
12605,Hostal,SisTrans
12606,Hostal,Hilton
12607,Hotel,Hilton
12608,Hostal,SeneK
12609,Hotel,Operaciones b
12610,Hotel,Tostao
12611,Hotel,City U 
12612,vecino,Livin
12613,Empreza vivienda univercitaria,Tostao
12614,Hostal,City U 
12615,Empreza vivienda univercitaria,SeneK
12616,vecino,El Mono
12617,Hotel,El Mono
12618,Empreza vivienda univercitaria,Avianca
12619,Empreza vivienda univercitaria,Operaciones b
12620,vecino,City U 
12621,Hostal,Avianca
12622,Hotel,El Mono
12623,vecino,Livin
12624,Hotel,Operaciones b
12625,vecino,City U 
12626,Hostal,El sol
12627,Hotel,Unal
12628,vecino,City U 
12629,Empreza vivienda univercitaria,City U 
12630,Hostal,Avianca
12631,Miembro comunidad,Uni
12632,Empreza vivienda univercitaria,El sol
12633,Miembro comunidad,Operaciones b
12634,Hostal,SisTrans
12635,Empreza vivienda univercitaria,Unal
12636,Empreza vivienda univercitaria,El Mono
12637,Hotel,Uni
12638,Hostal,Panamericana
12639,Hotel,Avianca
12640,Hostal,Uni
12641,Hotel,Uni
12642,Hotel,Livin
12643,Hotel,City U 
12644,Hotel,Uni
12645,Empreza vivienda univercitaria,Livin
12646,Empreza vivienda univercitaria,Avianca
12647,Hotel,Hilton
12648,Hostal,Unal
12649,Hostal,SeneK
12650,vecino,Tostao
12651,Hostal,City U 
12652,Miembro comunidad,Hilton
12653,Hotel,Panamericana
12654,Miembro comunidad,Uni
12655,Hotel,Avianca
12656,Hotel,SisTrans
12657,Empreza vivienda univercitaria,SisTrans
12658,Hotel,El sol
12659,vecino,El sol
12660,Hotel,Operaciones b
12661,Empreza vivienda univercitaria,Unal
12662,Miembro comunidad,El sol
12663,vecino,Panamericana
12664,Hotel,Avianca
12665,Empreza vivienda univercitaria,Tostao
12666,Hostal,SisTrans
12667,Empreza vivienda univercitaria,Hilton
12668,vecino,El Mono
12669,Hotel,Avianca
12670,Miembro comunidad,Unal
12671,Empreza vivienda univercitaria,Avianca
12672,Hotel,El Mono
12673,Hotel,SisTrans
12674,Empreza vivienda univercitaria,Tostao
12675,Miembro comunidad,SisTrans
12676,Hotel,Panamericana
12677,Hotel,El Mono
12678,Miembro comunidad,Tostao
12679,vecino,SeneK
12680,Hostal,SisTrans
12681,vecino,El Mono
12682,Hostal,SeneK
12683,Hotel,City U 
12684,Hostal,SisTrans
12685,Hotel,Uni
12686,Empreza vivienda univercitaria,El Mono
12687,Hostal,El Mono
12688,Hostal,Operaciones b
12689,Empreza vivienda univercitaria,Operaciones b
12690,vecino,Panamericana
12691,Hotel,Hilton
12692,Hotel,Hilton
12693,Miembro comunidad,Tostao
12694,Hotel,Avianca
12695,Miembro comunidad,Avianca
12696,Miembro comunidad,El sol
12697,Hotel,Unal
12698,Hotel,SisTrans
12699,Hotel,SeneK
12700,Miembro comunidad,Avianca
12701,vecino,Livin
12702,vecino,Hilton
12703,Hotel,Unal
12704,vecino,El sol
12705,Empreza vivienda univercitaria,Uni
12706,vecino,Panamericana
12707,Hostal,Unal
12708,Empreza vivienda univercitaria,Unal
12709,Hostal,Hilton
12710,Miembro comunidad,SeneK
12711,Hotel,Hilton
12712,vecino,Avianca
12713,vecino,SeneK
12714,vecino,Unal
12715,vecino,SeneK
12716,Miembro comunidad,El sol
12717,vecino,City U 
12718,Miembro comunidad,El Mono
12719,Hostal,El Mono
12720,Hotel,Hilton
12721,Empreza vivienda univercitaria,SeneK
12722,Hotel,Operaciones b
12723,Hostal,Unal
12724,Empreza vivienda univercitaria,Livin
12725,vecino,SeneK
12726,Hotel,Tostao
12727,Hotel,Hilton
12728,Hotel,El Mono
12729,vecino,Uni
12730,Miembro comunidad,SeneK
12731,vecino,Panamericana
12732,Empreza vivienda univercitaria,SeneK
12733,Empreza vivienda univercitaria,Avianca
12734,Hotel,El sol
12735,Hotel,Avianca
12736,Miembro comunidad,City U 
12737,vecino,Uni
12738,vecino,Avianca
12739,Hostal,Hilton
12740,Hotel,SeneK
12741,Hotel,El sol
12742,Empreza vivienda univercitaria,Hilton
12743,Hotel,Tostao
12744,vecino,El Mono
12745,vecino,SisTrans
12746,vecino,SisTrans
12747,vecino,Uni
12748,Hostal,SisTrans
12749,vecino,Hilton
12750,Hostal,City U 
12751,Hostal,Avianca
12752,Hostal,Avianca
