ID, NOMBRE, REGISTROCAMARACOMERCIO, TIENESALAESTUDIO, TIENESALAESPARCIMIENTO, TIENEGIMNASIO, TIENERESTAURANTE 
 arcu taciti convallis,4856 West Christmas Island Ln.,2409,2409,0,0,1,0
 dictum felis nascetur,52171  Botswana Ln.,2410,2410,1,0,1,0
 Praesent Mauris eget,34937 East Monaco Way,2411,2411,1,0,1,0
 faucibus metus conubia,45975 South Chad Ave.,2412,2412,1,1,0,1
 aptent lobortis litora,97409 North Austria Ave.,2413,2413,1,1,0,1
 molestie semper sodales,8670 South Palau St.,2414,2414,0,0,0,1
 faucibus ullamcorper placerat,91751 East Apple Valley Ave.,2415,2415,0,1,1,0
 habitant tempor eu,42762 North Algeria Blvd.,2416,2416,1,0,0,1
 risus tempus eleifend,13168 South Korea Blvd.,2417,2417,0,1,0,0
 consectetuer ad placerat,98354  Chile Way,2418,2418,0,1,1,0
 ligula Praesent velit,74064  Auburn Hills Ct.,2419,2419,1,1,1,1
 ullamcorper vel nulla,93927  Peru Ave.,2420,2420,0,1,1,0
 gravida neque a,17341 West Brown Deer Ct.,2421,2421,0,0,0,1
 tempor cursus In,68499  Bahrain Blvd.,2422,2422,1,0,1,1
 arcu ullamcorper diam,57975 West Palau Ct.,2423,2423,0,0,0,0
 tempus enim hendrerit,96387  Timor-leste Blvd.,2424,2424,1,1,1,1
 lacus sodales Class,20277 North Maldives St.,2425,2425,0,0,1,0
 cursus amet vulputate,16772 West Cocos Keeling Islands St.,2426,2426,1,0,1,0
 ultrices interdum Nulla,75577 North Lebanon Blvd.,2427,2427,1,0,0,1
 aptent interdum adipiscing,41442 West Burkina Faso Way,2428,2428,0,1,1,0
 rhoncus nulla fringilla,30815 West Belarus St.,2429,2429,0,1,1,1
 metus pharetra fringilla,45734 North Portugal Ln.,2430,2430,1,1,0,0
 tortor magna porta,78301  Zimbabwe St.,2431,2431,0,0,1,1
 mi Vestibulum magnis,62751 North Maldives St.,2432,2432,1,0,0,0
 ante penatibus rutrum,80107 East Uzbekistan Blvd.,2433,2433,0,0,0,0
 sit arcu facilisis,57776 South Cape Verde St.,2434,2434,0,1,1,0
 posuere dui vehicula,36836  Niue Blvd.,2435,2435,1,0,1,0
 imperdiet natoque eleifend,98720  Nevada City Blvd.,2436,2436,0,0,1,1
 consectetuer sagittis vel,1204 North Easton St.,2437,2437,0,0,0,0
 massa Fusce at,17974 West Svalbard and Jan Mayen St.,2438,2438,1,1,0,1
 Nulla Curae amet,13065  Belarus Ln.,2439,2439,0,0,0,1
 faucibus urna porta,50403 North China Way,2440,2440,1,1,1,0
 posuere Suspendisse bibendum,35214 West Cayman Islands St.,2441,2441,1,1,1,0
 velit Curabitur dolor,29005 South Lufkin Blvd.,2442,2442,0,1,0,0
 pellentesque pellentesque conubia,63176 East Moline Ave.,2443,2443,0,1,1,1
 fermentum magnis parturient,72290 North Costa Mesa St.,2444,2444,0,0,0,0
 pellentesque Lorem torquent,79064 West Croatia Blvd.,2445,2445,1,1,0,1
 fames eros sollicitudin,90445 North Egypt Ln.,2446,2446,0,0,0,1
 vitae interdum dictum,82291 West Fort Dodge Ln.,2447,2447,0,0,1,1
 purus habitant Aenean,26781 South Papua New Guinea Ct.,2448,2448,0,0,1,1
 ultrices fringilla quis,73741  Eritrea Way,2449,2449,1,0,1,0
 consequat turpis Cras,41253 South New Zealand Ave.,2450,2450,0,1,0,1
 Mauris pede dui,68700 East Holy See Vatican City State St.,2451,2451,0,1,0,0
 ipsum sociosqu feugiat,63101 North Malawi Ave.,2452,2452,1,1,1,1
 viverra congue gravida,88534 West Connellsville Ct.,2453,2453,0,0,0,0
 Integer Phasellus senectus,54421 North Eritrea Ct.,2454,2454,0,0,0,1
 lobortis bibendum Curabitur,31766 West Melrose Ln.,2455,2455,1,0,0,0
 mus mattis Phasellus,23893 West Oman Ln.,2456,2456,1,0,0,0
 orci tortor inceptos,796 West Nauru St.,2457,2457,0,1,1,1
 velit accumsan mauris,68148  Argentina Way,2458,2458,1,0,1,0
 venenatis nunc Nulla,39388 West Antarctica St.,2459,2459,1,0,0,0
 Curabitur nunc Integer,60479 East Tajikistan Ct.,2460,2460,0,0,0,0
 ultricies per ligula,86346 North Aurora Ln.,2461,2461,0,1,0,1
 malesuada tellus feugiat,50160 South Fairbanks Ln.,2462,2462,0,0,1,1
 eros feugiat ipsum,41908 East Afghanistan Ct.,2463,2463,1,0,1,0
 commodo iaculis placerat,79172 South Mentor Ave.,2464,2464,1,0,1,0
 natoque tempor Vivamus,12341 West Guthrie St.,2465,2465,1,1,1,0
 purus non mi,52584  Aliso Viejo Ln.,2466,2466,0,0,1,0
 leo mi Donec,73703 West Bristol Ct.,2467,2467,0,0,1,1
 porttitor semper dictum,97922 East Forest Lake Ave.,2468,2468,1,0,0,0
 parturient nulla faucibus,90633 North Uruguay Way,2469,2469,0,1,1,0
 Praesent hymenaeos nibh,8760  Latvia Way,2470,2470,0,0,1,1
 quam cubilia Curabitur,82498 North Beaumont Ct.,2471,2471,0,1,1,1
 fames aptent mollis,48742  Venezuela Way,2472,2472,1,1,1,1
 inceptos nisi mauris,32669  Uruguay Ave.,2473,2473,0,1,0,1
 ante Class ante,32595 North Benin St.,2474,2474,1,0,1,1
 nisi cubilia feugiat,19640 South Romania Ct.,2475,2475,0,1,1,0
 pulvinar elit est,10461 West Paraguay Ave.,2476,2476,0,0,0,1
 posuere pharetra feugiat,95264 West Holyoke Ave.,2477,2477,1,1,0,0
 ullamcorper quam imperdiet,60466 East Peekskill Ave.,2478,2478,1,0,0,1
 porttitor natoque dis,84967 South Cape Verde Ct.,2479,2479,1,1,0,1
 lorem felis mauris,56709 South Timor-leste Way,2480,2480,0,1,1,1
 sapien Quisque Phasellus,94710 West Japan Ave.,2481,2481,0,1,1,0
 taciti venenatis ipsum,2370 East Congo Way,2482,2482,1,1,1,1
 mauris Integer placerat,57132  Algeria Ct.,2483,2483,1,1,1,1
 viverra a placerat,57404 North Tajikistan Way,2484,2484,0,1,1,1
 nibh egestas sapien,32736 North Gabon Ave.,2485,2485,1,1,0,0
 congue Proin ultricies,51876 South Asbury Park Ave.,2486,2486,0,0,0,0
 hendrerit eu Proin,93068 South Iceland Ave.,2487,2487,0,1,0,1
 sapien commodo sollicitudin,75561 East Las Vegas Way,2488,2488,1,1,0,1
 lacinia facilisis purus,59030 North Edina Ln.,2489,2489,1,0,0,1
 eu pharetra libero,63566 East Colombia Blvd.,2490,2490,1,0,0,0
 Duis tempor nisl,69446 West Colombia Blvd.,2491,2491,0,0,1,0
 aptent iaculis sociosqu,58643 East Russian Federation Blvd.,2492,2492,0,1,1,1
 tellus est laoreet,18021 East Laurel St.,2493,2493,0,1,0,0
 ornare leo sem,67047 West Meriden Blvd.,2494,2494,0,0,1,1
 porttitor Ut neque,83452 East Moultrie Blvd.,2495,2495,0,1,1,0
 nostra vehicula urna,45457 West Albuquerque Blvd.,2496,2496,0,1,0,0
 Vivamus augue odio,78493 East Cedarburg Way,2497,2497,1,0,0,0
 metus torquent mi,26379 South Anguilla St.,2498,2498,1,0,0,1
 libero ultrices ullamcorper,40492 North Puerto Rico Way,2499,2499,1,1,0,1
 euismod ante feugiat,58112 East Edina Ct.,2500,2500,0,1,0,1
 semper imperdiet augue,394 North Oakland Ave.,2501,2501,1,1,1,1
 Proin torquent imperdiet,17748 West Indonesia St.,2502,2502,1,0,0,1
 leo molestie aliquam,9838 West Christmas Island Ave.,2503,2503,1,1,1,0
 nibh venenatis Lorem,71629 East Indio Way,2504,2504,1,1,0,1
 Etiam Morbi dis,65313 West Carrollton St.,2505,2505,0,0,0,0
 Fusce pulvinar placerat,44505 North Niue Ave.,2506,2506,1,1,1,1
 vel vel ultrices,21785 West Houston Ln.,2507,2507,0,0,1,1
 tortor luctus facilisi,87534  Hammond St.,2508,2508,0,1,0,0
 ullamcorper nec commodo,86088 West Kiribati St.,2509,2509,1,1,1,0
 pulvinar semper commodo,23966 West Hartford Ln.,2510,2510,0,0,0,1
 Nam nulla neque,18022 West Azerbaijan Ln.,2511,2511,0,1,0,0
 Praesent taciti cubilia,35450 East Seychelles Blvd.,2512,2512,1,1,0,0
 rhoncus nisi conubia,99497 West Botswana Way,2513,2513,1,1,0,0
 magna nulla ultrices,937 West Denmark Blvd.,2514,2514,0,1,0,1
 dapibus cursus nisi,93926 East Trinidad and Tobago Ave.,2515,2515,1,0,0,1
 conubia ornare eu,88368  Greece Ct.,2516,2516,1,1,1,1
 Vestibulum sagittis ultrices,45721 East Latvia Way,2517,2517,1,0,0,1
 aptent Fusce aliquam,55437  Belarus Ln.,2518,2518,1,0,1,0
 Fusce id adipiscing,76585 East Mali Blvd.,2519,2519,0,0,0,0
 urna mollis Phasellus,32873 North Ghana St.,2520,2520,1,0,0,1
 nec parturient placerat,95990 West Lesotho Ave.,2521,2521,1,0,1,0
 ut dis congue,12836 East Jamaica Ct.,2522,2522,1,0,0,1
 fringilla sociis euismod,97596  Antarctica Ct.,2523,2523,0,0,0,1
 augue lobortis porttitor,58666  Cape May Way,2524,2524,0,1,0,1
 vestibulum sem taciti,62394 East Franklin Ave.,2525,2525,0,0,0,1
 conubia Nam mauris,32595 West Somalia Ct.,2526,2526,0,1,0,1
 pharetra rhoncus Duis,55183 East Papua New Guinea St.,2527,2527,0,1,1,0
 auctor nisl suscipit,58487  Chester Ave.,2528,2528,1,1,1,1
 natoque neque hendrerit,36686 South Ecuador St.,2529,2529,0,0,1,0
 cursus dui ut,81408 West Iran, Islamic Republic of Ave.,2530,2530,0,0,0,1
 consectetuer porttitor ornare,98612 South Kiribati Ct.,2531,2531,1,1,1,1
 auctor purus sodales,69208 East Azerbaijan Way,2532,2532,1,1,0,1
 orci turpis interdum,40765 North French Southern Territories Ct.,2533,2533,1,0,1,0
 faucibus dapibus bibendum,6835  Azusa Blvd.,2534,2534,1,1,1,0
 senectus senectus lobortis,52597  Norwalk Ct.,2535,2535,1,1,0,0
 hymenaeos Donec aliquet,60414 East Heard Island and Mcdonald Islands St.,2536,2536,0,1,0,1
 molestie mus tempus,84227 North New Zealand Ln.,2537,2537,0,1,0,1
 lobortis quis venenatis,80927 North Madagascar Ct.,2538,2538,0,1,0,1
 primis lacus Mauris,26785 South Pitcairn Ave.,2539,2539,0,1,1,0
 dictum imperdiet rutrum,77046 East Egg Harbor Ln.,2540,2540,1,0,0,1
 at nascetur ut,77667 North Romania St.,2541,2541,1,0,1,1
 fringilla scelerisque turpis,10190  Cameroon Ln.,2542,2542,1,1,1,1
 scelerisque facilisis nonummy,5052 East Brea Way,2543,2543,0,0,1,1
 amet molestie lacinia,71700  Florence Blvd.,2544,2544,1,1,0,0
 dolor felis ligula,25708 East Cameroon Ct.,2545,2545,0,1,1,0
 ut eget dapibus,59918 South China Ln.,2546,2546,1,1,0,1
 venenatis Mauris pellentesque,59334  Cape Verde Ln.,2547,2547,1,0,0,0
 Nam porta fringilla,32498 East Port Washington St.,2548,2548,1,1,1,0
 Curae sociosqu aptent,77626 East Alhambra Ct.,2549,2549,0,0,1,1
 quis morbi Donec,17430 West Blythe Ct.,2550,2550,1,1,0,1
 pellentesque mi justo,59373 North Sri Lanka Way,2551,2551,0,1,0,1
 ac ligula quam,17886 East Charleston Blvd.,2552,2552,0,0,0,1
 ultricies netus facilisis,67653 East Austria Ct.,2553,2553,1,0,0,0
 orci venenatis amet,34416 East Canada Blvd.,2554,2554,1,1,1,0
 nonummy Donec risus,49287 East Iraq Way,2555,2555,0,0,0,1
 Class sociosqu varius,90748  Seychelles Blvd.,2556,2556,0,1,0,0
 Nunc interdum facilisi,34659 West Marshall Ct.,2557,2557,0,1,0,0
 urna mattis faucibus,87069  Morocco Ct.,2558,2558,1,1,0,0
 pede lorem hendrerit,44152 North Guatemala St.,2559,2559,0,1,1,1
 consectetuer blandit nostra,64101 South Afghanistan St.,2560,2560,1,1,1,1
 ad pede sed,858 East Equatorial Guinea Ct.,2561,2561,0,0,0,1
 placerat Class sit,57376 East Greenland St.,2562,2562,0,1,1,1
 pede pellentesque lacus,68979 West Puerto Rico Ln.,2563,2563,0,1,0,1
 justo porttitor sodales,40823 East Nigeria Ct.,2564,2564,1,0,1,0
 diam enim fermentum,34737  Equatorial Guinea Way,2565,2565,0,1,1,1
 tempus varius rhoncus,34741  Kazakhstan Blvd.,2566,2566,0,0,1,1
 vel felis Cras,12842  Christmas Island Blvd.,2567,2567,1,0,1,1
 nonummy iaculis convallis,43810 North Battle Creek Way,2568,2568,0,0,1,0
 adipiscing iaculis tempor,19221 South Belize Ln.,2569,2569,0,1,1,0
 Aenean augue sapien,88685  Lithuania Way,2570,2570,0,0,0,1
 convallis lobortis risus,56168  Albania St.,2571,2571,0,1,0,0
 nostra magna montes,17152  Moultrie Way,2572,2572,0,1,0,1
 montes Vivamus Suspendisse,62260 East Brazil Blvd.,2573,2573,1,1,1,0
 tincidunt Cras ligula,34762 East Bermuda Ave.,2574,2574,0,0,1,0
 pulvinar mus ligula,34683  Afghanistan Blvd.,2575,2575,0,0,0,0
 ornare ipsum erat,71247 West Aruba Blvd.,2576,2576,0,1,0,0
 quis sociis condimentum,84299 North Cape Verde Ct.,2577,2577,1,1,1,1
 Class eu amet,23678 East Alameda Blvd.,2578,2578,1,0,1,0
 pellentesque aptent sociis,80085 East Romania Ave.,2579,2579,0,1,1,0
 Fusce in pede,75608 South Fairfax Ave.,2580,2580,1,0,0,0
 euismod facilisis nibh,33362 East Slovakia Way,2581,2581,0,0,0,1
 eget a tincidunt,27090 North Danbury St.,2582,2582,1,1,0,1
 Ut aliquam nisi,16002 South Bahamas Way,2583,2583,1,0,1,0
 euismod felis dui,92055 West Andorra Ave.,2584,2584,1,1,0,1
 bibendum orci massa,1620 North Costa Rica Ln.,2585,2585,1,0,1,1
 Proin mi euismod,82315 West Bethlehem Ct.,2586,2586,1,1,1,0
 amet primis nunc,27295 West Huntington Park Ln.,2587,2587,0,1,1,0
 Quisque pulvinar auctor,44017 East Virgin Islands, British Ave.,2588,2588,1,1,0,1
 blandit dapibus ante,34809 East Sri Lanka Ln.,2589,2589,1,1,0,0
 ultrices Nunc fames,64796 South Grenada Blvd.,2590,2590,1,1,1,0
 Nullam Lorem orci,2233 East Japan Blvd.,2591,2591,0,1,1,1
 posuere aliquam arcu,72572 South Christmas Island St.,2592,2592,1,1,0,1
 netus elementum Integer,12029 North Costa Rica Way,2593,2593,0,1,1,0
 nascetur natoque porttitor,89012 North Brunei Darussalam Ct.,2594,2594,1,0,1,0
 Sed venenatis sollicitudin,59230  Belarus Ave.,2595,2595,0,0,0,1
 lobortis elit sem,71737 West Andorra St.,2596,2596,0,0,0,0
 torquent laoreet egestas,19628 North Grambling Blvd.,2597,2597,0,1,0,1
 ullamcorper vehicula adipiscing,22472 North Boulder City St.,2598,2598,1,0,0,0
 est per Curabitur,12443 South Biddeford Way,2599,2599,0,0,1,1
 nibh viverra varius,58148 West Hungary Ln.,2600,2600,0,0,0,1
 sollicitudin Proin hendrerit,50503 West Malaysia Ct.,2601,2601,0,0,0,1
 lectus vestibulum habitant,80056 South Angola Blvd.,2602,2602,0,1,0,0
 Curae congue sapien,60160  Vanuatu Ave.,2603,2603,0,1,0,0
 Class enim Sed,68440 West Bangladesh St.,2604,2604,0,0,1,1
 volutpat dictum tortor,881 South Belize Ct.,2605,2605,0,1,0,1
 at Pellentesque Nunc,44993 West Vanuatu Way,2606,2606,1,0,1,0
 Praesent Nunc ad,71265  Burundi St.,2607,2607,0,0,1,1
 In In facilisis,36115 East Nicaragua Blvd.,2608,2608,1,1,0,0
 neque Nullam sociis,9769 East Canton Ln.,2609,2609,0,0,0,1
 pellentesque lobortis condimentum,47346 East Everett Ct.,2610,2610,1,0,1,0
 pellentesque pede ad,52365 West Gibraltar Ct.,2611,2611,0,0,0,1
 posuere Aliquam dignissim,98751 North Botswana St.,2612,2612,1,0,0,0
 nostra feugiat justo,63855 North Canton Ave.,2613,2613,1,1,1,0
 hendrerit sagittis tristique,76115 West Anguilla Blvd.,2614,2614,1,0,0,0
 mi ac dignissim,95406 North Boulder City St.,2615,2615,0,0,1,0
 Suspendisse tempus turpis,85604  Aliso Viejo St.,2616,2616,0,0,1,0
 gravida elementum erat,95161 North Venezuela Blvd.,2617,2617,1,0,1,1
 conubia ante morbi,70445 East Allentown Ct.,2618,2618,1,1,0,0
 Suspendisse imperdiet luctus,92160  Claremore St.,2619,2619,0,0,1,0
 Curae primis risus,51024 East Guatemala Blvd.,2620,2620,1,1,1,0
 Suspendisse rhoncus lobortis,55403 East Deadwood Ct.,2621,2621,0,1,1,0
 bibendum inceptos bibendum,85120 North Belarus Ln.,2622,2622,0,1,0,1
 est sagittis dictum,91294 North Cambodia Ct.,2623,2623,0,1,1,0
 Sed Integer aliquet,74038 East Beaver Falls St.,2624,2624,1,0,0,1
 vestibulum Cras nunc,58086 South Northern Mariana Islands Ave.,2625,2625,1,0,0,0
 ligula odio Vivamus,50754 West Saint Lucia St.,2626,2626,1,1,1,1
 augue diam Pellentesque,10505 East El Segundo Ave.,2627,2627,0,1,0,1
 Nullam dis iaculis,99111 East Israel St.,2628,2628,0,1,1,0
 eleifend Mauris rhoncus,5492  Botswana Ct.,2629,2629,0,1,1,1
 rutrum litora varius,79906 East North Las Vegas Blvd.,2630,2630,1,1,0,0
 sem Sed luctus,89269 West Bridgeport St.,2631,2631,1,0,0,1
 odio In justo,72058 East Chad Way,2632,2632,0,1,0,0
 ornare mollis scelerisque,40958 East Bahrain Blvd.,2633,2633,1,1,0,1
 metus ipsum rhoncus,22806 East Zimbabwe Ln.,2634,2634,1,1,1,1
 Quisque nisi ligula,26937 South Costa Rica Ct.,2635,2635,0,0,0,0
 enim nec adipiscing,66950 South Mauritius Ct.,2636,2636,1,1,0,0
 natoque fermentum feugiat,23196 South Pembroke Pines Ct.,2637,2637,1,0,0,0
 commodo Pellentesque morbi,98953 South Falkland Islands Malvinas Ct.,2638,2638,0,1,0,0
 viverra torquent metus,75376 East Singapore Blvd.,2639,2639,1,1,1,1
 ligula tempor amet,69819 East Pass Christian Ave.,2640,2640,1,0,0,1
 tellus per sollicitudin,78390 East Taiwan, Province of China Ct.,2641,2641,0,0,1,0
 semper pretium justo,25307 North Nampa Ave.,2642,2642,0,0,0,1
 litora sem vulputate,85991 East American Samoa Ln.,2643,2643,0,1,0,1
 interdum ut nonummy,20796 East Burkina Faso Ln.,2644,2644,1,0,0,1
 porta nulla taciti,89193 South Spain Ave.,2645,2645,0,1,0,0
 sapien sapien orci,87586 South Georgia Ct.,2646,2646,0,0,0,0
 inceptos ad Nam,64452 South British Indian Ocean Territory Ct.,2647,2647,1,0,0,0
 varius nunc eros,11316  Derby Way,2648,2648,1,1,0,1
 rhoncus taciti parturient,73107 South Anchorage St.,2649,2649,1,0,1,1
 tempor faucibus Fusce,12417 North Bosnia and Herzegovina Ave.,2650,2650,0,0,0,0
 ultricies eros Class,15551 West Maywood Ave.,2651,2651,1,1,1,0
 cursus aliquam viverra,75130 West Oman Ln.,2652,2652,1,1,0,1
 pretium tortor aliquet,21447 West Sweden Way,2653,2653,1,1,1,1
 Curae lorem felis,59599 East Fremont Ave.,2654,2654,1,1,0,0
 Morbi id mus,59449 North Belarus Ct.,2655,2655,0,1,1,0
 semper ad nascetur,75915 East El Paso Blvd.,2656,2656,1,1,1,0
 consectetuer fermentum sagittis,34620 North Sao Tome and Principe Ave.,2657,2657,0,1,0,0
 ante cubilia In,96383 West Binghamton St.,2658,2658,1,0,0,0
 orci elit varius,89759  Liberia Ct.,2659,2659,0,0,0,0
 nonummy pede lectus,63326 South Azerbaijan Ave.,2660,2660,1,0,1,0
 nostra scelerisque laoreet,10892 West Timor-leste Blvd.,2661,2661,1,1,0,0
 Quisque accumsan velit,77952  Healdsburg St.,2662,2662,1,0,1,1
 urna accumsan netus,43831 South Garden Grove Ave.,2663,2663,0,0,1,0
 erat sit eget,39483 West Faroe Islands Way,2664,2664,0,1,1,0
 euismod Ut augue,75928  American Samoa St.,2665,2665,0,1,1,1
 Class ullamcorper luctus,65310 East Mexico St.,2666,2666,0,0,1,1
 fames pharetra leo,6475 North Central African Republic Ct.,2667,2667,0,0,1,1
 elit enim tristique,42560 East Syrian Arab Republic Ave.,2668,2668,1,0,1,1
 Nunc nonummy tellus,69073 North Austria Ct.,2669,2669,1,1,0,1
 id diam mattis,18518 East Easton Ln.,2670,2670,1,0,1,0
 convallis Sed dictum,33857 South Papua New Guinea St.,2671,2671,1,1,1,1
 commodo per habitant,19905  Dominica Blvd.,2672,2672,1,1,1,1
 nostra felis arcu,72534 East France Ave.,2673,2673,1,0,1,0
 nulla ullamcorper Cras,11562 North Attleboro Blvd.,2674,2674,1,1,1,1
 Proin est tempor,95194 South Mission Viejo Blvd.,2675,2675,0,1,1,1
 fames Sed tristique,72985 North Philippines Ave.,2676,2676,1,0,0,1
 nisi arcu volutpat,38283 South Baton Rouge Ct.,2677,2677,1,0,1,1
 elit arcu conubia,37035 North Mesa Blvd.,2678,2678,0,1,0,0
 sagittis elit sociosqu,63912 North Cocos Keeling Islands Ct.,2679,2679,1,1,1,1
 sit per nascetur,53423 North Pakistan Ct.,2680,2680,0,1,1,0
 amet scelerisque purus,20085  Bahrain Ct.,2681,2681,1,1,0,1
 Curabitur nibh nisi,25352  Guam Way,2682,2682,1,0,0,0
 elementum iaculis consectetuer,53746 North France Ln.,2683,2683,0,1,1,1
 Nullam viverra hymenaeos,81243 North Andorra Way,2684,2684,0,1,1,0
 sapien lorem fringilla,28506  Brunei Darussalam St.,2685,2685,1,0,1,0
 eros Pellentesque enim,38888 North Chile Ct.,2686,2686,0,0,0,1
 eros ac imperdiet,67775 East Algeria Blvd.,2687,2687,0,1,0,1
 rhoncus accumsan tincidunt,49254 East Djibouti Blvd.,2688,2688,0,1,1,1
 neque Morbi posuere,46113 West Svalbard and Jan Mayen Ct.,2689,2689,0,1,1,1
 elementum est cursus,21836  Albania Ave.,2690,2690,1,1,0,0
 malesuada metus natoque,9301 West Mobile Ln.,2691,2691,1,0,0,1
 magnis mattis elit,17636 West United Arab Emirates Blvd.,2692,2692,1,0,0,0
 neque adipiscing viverra,15212 West Belleville Ln.,2693,2693,0,0,1,1
 ornare iaculis aptent,5840 West Georgia Ct.,2694,2694,0,0,0,1
 Fusce Cras Maecenas,84743 North Tuvalu Ave.,2695,2695,0,1,1,1
 dictum augue nonummy,39234  Belize Ln.,2696,2696,1,0,1,1
 condimentum Pellentesque Maecenas,44712 North Kenya Blvd.,2697,2697,0,1,0,1
 ipsum faucibus Nunc,12748  Bermuda Blvd.,2698,2698,0,1,0,0
 lectus ipsum vestibulum,1978 East Tanzania, United Republic of Ln.,2699,2699,0,1,1,0
 nisl venenatis congue,96826 West Sierra Leone Ave.,2700,2700,1,0,1,0
 Nullam per fames,5367 West Brazil Blvd.,2701,2701,1,1,0,1
 pede ut lacinia,3289 East Dixon Ln.,2702,2702,1,1,1,0
 dapibus faucibus euismod,59373 South Turkey Ln.,2703,2703,1,0,1,1
 vehicula est rhoncus,68666 East Virgin Islands, U.S. Ct.,2704,2704,1,0,0,0
 cursus cubilia nisi,61860  Brunei Darussalam Blvd.,2705,2705,0,0,0,1
 risus Quisque interdum,6794 East Durango Ave.,2706,2706,0,1,1,0
 Nulla tortor convallis,10238 North Chile Way,2707,2707,1,0,0,1
 consequat malesuada netus,58406 East Butler Ln.,2708,2708,0,1,1,1
 placerat porta volutpat,74012 East Moscow Ave.,2709,2709,1,0,0,0
 hymenaeos amet diam,99277 West Barbados Ave.,2710,2710,0,0,0,1
 taciti amet facilisis,71368 East Agawam Ave.,2711,2711,1,1,1,0
 sed libero leo,29434 South Centennial Blvd.,2712,2712,1,0,1,1
 ornare nibh netus,73125 South Hungary Way,2713,2713,1,0,1,0
 orci iaculis at,58337  Chattanooga Ave.,2714,2714,1,1,0,0
 Maecenas neque rutrum,49426 East Great Falls Ct.,2715,2715,0,0,0,0
 nec euismod magna,15558 East French Polynesia Blvd.,2716,2716,1,0,1,0
 magnis pulvinar tristique,35840 East Afghanistan Ct.,2717,2717,1,0,1,1
 Lorem auctor congue,32798 East Sao Tome and Principe Blvd.,2718,2718,1,1,0,0
 fermentum litora ullamcorper,18615 West Sierra Leone Ln.,2719,2719,0,0,1,0
 tortor natoque massa,83403 East Highland Park Ct.,2720,2720,0,0,0,1
 blandit convallis non,48537  Saint Vincent and The Grenadines Blvd.,2721,2721,1,0,1,0
 Nulla faucibus Curae,64383  Belgium Ave.,2722,2722,0,0,1,0
 enim quam est,40992  Christmas Island St.,2723,2723,0,0,1,1
 cubilia sapien litora,8207 North Sweden Way,2724,2724,1,0,1,1
 habitant montes magnis,76102 South Bangladesh Blvd.,2725,2725,0,0,1,0
 dictum Sed mollis,58016  Senegal Blvd.,2726,2726,1,1,0,0
 semper nostra Nam,52443 North Chickasha Ave.,2727,2727,0,0,0,1
 lectus et sapien,9040 North Dominica Ave.,2728,2728,1,1,0,0
 natoque pharetra nascetur,81327  Aruba Ave.,2729,2729,1,0,1,0
 sodales tortor in,56227  Colombia Blvd.,2730,2730,1,0,1,0
 netus Fusce Aenean,22806  Fajardo Blvd.,2731,2731,0,1,0,0
 aliquam Curabitur ipsum,80449 East Colombia Blvd.,2732,2732,0,1,0,1
 dolor nunc mollis,75968 South Belarus Ct.,2733,2733,1,1,0,1
 quam enim sem,52280  Charleston Ct.,2734,2734,0,1,0,0
 natoque sollicitudin lacinia,24953  Nauru Ln.,2735,2735,1,0,1,0
 pharetra feugiat Praesent,98240  Frisco Ct.,2736,2736,0,1,1,0
 senectus eros nonummy,59579 South Martinique Ln.,2737,2737,1,1,0,1
 magna lacus pulvinar,245 East Austria Ct.,2738,2738,0,0,1,0
 fringilla elementum velit,75395 East Fort Lauderdale St.,2739,2739,1,1,0,1
 metus mauris nulla,89937 South Kent Ave.,2740,2740,0,0,1,0
 imperdiet orci imperdiet,97176 West Glendora Ln.,2741,2741,0,1,0,1
 Integer molestie pretium,98179 West Faroe Islands Ave.,2742,2742,0,1,0,0
 ullamcorper molestie mauris,95462 East Bosnia and Herzegovina Ave.,2743,2743,0,0,1,0
 accumsan vestibulum placerat,6751  Biloxi Way,2744,2744,0,1,1,0
 adipiscing sodales ridiculus,78062  Sri Lanka Blvd.,2745,2745,1,0,0,1
 amet Cum gravida,98020 West Palestinian Territory, Occupied Ave.,2746,2746,1,1,1,0
 facilisis convallis auctor,23373 East Cameroon Way,2747,2747,0,0,0,1
 euismod In vulputate,88588 West Anguilla Ct.,2748,2748,0,1,1,0
 ultrices nisl euismod,8642 West Cook Islands Ln.,2749,2749,1,0,0,1
 nisl in Lorem,81169 East Coral Springs Blvd.,2750,2750,0,0,1,1
 sociosqu nisl dapibus,38264 South Costa Rica Blvd.,2751,2751,0,1,0,1
 velit facilisi non,30050 East Buffalo Blvd.,2752,2752,0,1,0,1
 rutrum at turpis,49114 East Bolivia Blvd.,2753,2753,0,0,1,0
 nisi Sed Quisque,70078 East Claremont Ave.,2754,2754,0,1,0,1
 mattis sit aptent,19950 South Burkina Faso Ave.,2755,2755,0,0,1,0
 Vestibulum sem lobortis,17635 East Bolivia Ln.,2756,2756,1,0,1,1
 In accumsan Aenean,76379  Timor-leste Ct.,2757,2757,1,1,0,0
 vel Curae vel,59997 North Cape Coral Ln.,2758,2758,0,1,0,1
 senectus eget lacus,98798 South Cyprus Way,2759,2759,0,0,0,0
 Class In pede,85425 North Faroe Islands Ave.,2760,2760,0,1,1,1
 auctor Vestibulum facilisis,69632 South Fiji Ct.,2761,2761,0,0,1,0
 in per dapibus,21686 West Slovenia Blvd.,2762,2762,1,0,1,0
 viverra felis ultrices,83514 West Fitchburg Ct.,2763,2763,0,1,0,0
